,country,isonum,isocode,year,rank_heal,heal,Sadness,Sadness_year,Joy,Joy_year,healp,healp_year,cityheal,cityheal_year,tblnl,tblnl_year,Obesity,Obesity_year,mort,mort_year,meandiabetes,meandiabetes_year,leb,leb_year,dpt,dpt_year,imeas,imeas_year,impsan,impsan_year
31,Comoros,174,COM,2007,133,54.62810516357422,***,2009,***,2009,***,2009,***,2009,2.441258668899536,--,5.6,2010,921.6510009765625,--,4.671840667724609,2007,60.71234146341464,2007,75,2007,65,2007,30.4,2007
32,Costa Rica,188,CRI,2007,30,77.83390045166016,***,2007,***,2007,***,2007,***,2007,0.0,2007,21.9,2010,404.6,2007,7.047441482543945,2007,78.33031707317075,2007,89,2007,90,2007,93.3,2007
33,Cyprus,196,CYP,2007,31,77.74566650390625,***,2009,***,2009,***,2009,***,2009,-2.3025851249694824,2007,22.0,2010,433.4,2007,7.114315032958984,2007,78.86851219512197,2007,97,2007,87,2007,100.0,2007
34,Czech Republic,203,CZE,2007,35,77.41789245605469,***,2007,***,2007,***,2007,***,2007,-0.9162907600402832,2007,25.3,2010,584.0,2007,8.805407524108887,2007,76.72439024390246,2007,99,2007,98,2007,99.1,2007
35,Germany,276,DEU,2007,11,80.6650161743164,***,2007,***,2007,***,2007,***,2007,-1.6094379425048828,2007,18.5,2010,444.3,2007,6.910308837890625,2007,79.53414634146343,2007,96,2007,97,2007,99.2,2007
36,Djibouti,262,DJI,2007,109,62.401817321777344,***,2008,***,2008,***,2008,***,2008,1.6067994832992554,--,8.3,2010,927.3478393554688,--,5.82407808303833,2007,58.829341463414636,2007,88,2007,74,2007,51.7,2007
37,Denmark,208,DNK,2007,26,78.4373550415039,***,2007,***,2007,***,2007,***,2007,-1.2039728164672852,2007,17.7,2010,511.8,2007,6.009699821472168,2007,78.19512195121952,2007,87,2007,89,2007,99.6,2007
38,Dominican Republic,214,DOM,2007,74,70.62284088134766,***,2007,***,2007,***,2007,***,2007,1.381137490272522,--,21.0,2010,535.6406860351562,--,7.662620544433594,2007,72.13131707317073,2007,85,2007,82,2007,80.8,2007
39,Algeria,12,DZA,2007,66,72.29947662353516,***,2011,***,2010,***,2011,***,2011,2.1716015338897705,--,22.6,2010,611.7557373046875,--,8.180017471313477,2007,72.89836585365853,2007,95,2007,92,2007,85.8,2007
40,Ecuador,218,ECU,2007,47,74.48397064208984,***,2007,***,2007,***,2007,***,2007,1.808288812637329,2007,16.8,2010,495.9,2007,5.940028190612793,2007,74.49502439024391,2007,96,2007,98,2007,77.4,2007
41,Egypt,818,EGY,2007,105,63.366050720214844,***,2007,***,2007,***,2007,***,2007,0.5877866744995117,2007,26.2,2010,1901.5,2007,12.810674667358398,2007,69.78229268292684,2007,98,2007,97,2007,92.2,2007
42,Spain,724,ESP,2007,15,80.29895782470703,***,2007,***,2007,***,2007,***,2007,-0.6931471824645996,2007,22.1,2010,406.6,2007,8.86056137084961,2007,80.87317073170732,2007,96,2007,97,2007,99.9,2007
43,Estonia,233,EST,2007,71,71.59756469726562,***,2007,***,2007,***,2007,***,2007,1.2237753868103027,2007,21.2,2010,745.8,2007,8.54853630065918,2007,72.81463414634148,2007,95,2007,96,2007,97.1,2007
44,Ethiopia,231,ETH,2007,142,50.91006851196289,***,2012,***,2012,***,2012,***,2013,4.672703266143799,--,3.3,2010,1103.157470703125,--,3.2889740467071533,2007,58.40800000000001,2007,50,2007,49,2007,17.8,2007
45,Finland,246,FIN,2007,17,79.59870910644531,***,2008,***,2008,***,2008,***,2008,-0.6931471824645996,2007,19.0,2010,461.0,2007,7.516756057739258,2007,79.26341463414636,2007,99,2007,98,2007,97.5,2007
46,France,250,FRA,2007,10,80.70027160644531,***,2007,***,2007,***,2007,***,2007,-0.6931471824645996,2007,22.0,2010,398.5,2007,7.5275373458862305,2007,81.11219512195123,2007,98,2007,90,2007,98.7,2007
47,Gabon,266,GAB,2007,128,57.27436447143555,***,2011,***,2011,***,2011,***,2011,0.5719349980354309,--,15.7,2010,640.5640869140625,--,7.307997703552246,2007,60.39278048780489,2007,81,2007,62,2007,40.3,2007
48,United Kingdom,826,GBR,2007,22,78.60645294189453,***,2007,***,2007,***,2007,***,2007,-0.9162907600402832,2007,25.5,2010,456.3,2007,7.238683700561523,2007,79.44878048780488,2007,92,2007,86,2007,99.2,2007
49,Georgia,268,GEO,2007,78,69.8230972290039,***,2007,***,2007,***,2007,***,2007,0.9932518005371094,2007,18.6,2010,641.1,2007,11.335941314697266,2007,73.42102439024391,2007,98,2007,97,2007,91.2,2007
50,Ghana,288,GHA,2007,103,63.57297134399414,***,2007,***,2007,***,2007,***,2007,2.8603007793426514,--,10.1,2010,783.0848388671875,--,4.218837261199951,2007,59.63585365853659,2007,94,2007,95,2007,12.6,2007
51,Guinea,324,GIN,2007,148,48.432655334472656,***,2011,***,2011,***,2011,***,2011,3.742950439453125,--,5.8,2010,1050.6524658203125,--,3.9667186737060547,2007,53.99948780487805,2007,63,2007,57,2007,16.3,2007
52,Greece,300,GRC,2007,23,78.56277465820312,***,2007,***,2007,***,2007,***,2007,-0.9162907600402832,2007,21.3,2010,473.9,2007,8.33917236328125,2007,79.43902439024392,2007,99,2007,99,2007,97.7,2007
53,Guatemala,320,GTM,2007,81,68.94868469238281,***,2007,***,2007,***,2007,***,2007,1.193922519683838,2007,17.1,2010,730.2,2007,6.649942874908447,2007,70.11078048780489,2007,85,2007,86,2007,59.5,2007
54,Guyana,328,GUY,2007,86,68.68917083740234,***,2007,***,2007,***,2007,***,2007,2.797281265258789,2007,20.5,2010,1007.2,2007,6.877406120300293,2007,65.77975609756098,2007,94,2007,96,2007,82.0,2007
55,Hong Kong,344,HKG,2007,6,81.52993774414062,***,2008,***,2008,***,2008,***,2008,0.6931471824645996,2007,8.055869102478027,--,353.7,2007,8.662469863891602,2007,82.3268292682927,2007,99,--,99,--,100.0,--
56,Honduras,340,HND,2007,67,72.27220916748047,***,2007,***,2007,***,2007,***,2007,2.2888848781585693,--,16.5,2010,630.745361328125,--,5.837194919586182,2007,71.85873170731709,2007,94,2007,96,2007,73.3,2007
57,Croatia,191,HRV,2007,50,74.2993392944336,***,2009,***,2009,***,2009,***,2008,0.2623642683029175,2007,21.4,2010,649.2,2007,8.429732322692871,2007,75.70560975609757,2007,96,2007,96,2007,97.2,2007
58,Hungary,348,HUN,2007,52,74.07373809814453,***,2007,***,2007,***,2007,***,2007,0.3364722430706024,2007,22.5,2010,741.8,2007,8.972082138061523,2007,73.15121951219513,2007,99,2007,99,2007,98.0,2007
59,Indonesia,360,IDN,2007,97,66.34004974365234,***,2007,***,2007,***,2007,***,2007,3.4611945152282715,--,4.3,2010,723.404541015625,--,5.95944881439209,2007,67.56773170731708,2007,73,2007,76,2007,54.1,2007
60,India,356,IND,2007,115,59.29930877685547,***,2007,***,2007,***,2007,***,2007,4.338393688201904,--,4.0,2010,885.0339965820312,--,6.929062843322754,2007,65.30043902439026,2007,64,2007,70,2007,32.6,2007
61,Ireland,372,IRL,2007,24,78.51757049560547,***,2008,***,2008,***,2008,***,2008,-0.2231435477733612,2007,23.1,2010,463.2,2007,6.513832092285156,2007,79.64146341463415,2007,92,2007,87,2007,89.9,2007
62,Iran,364,IRN,2007,73,70.7257308959961,***,2007,***,2007,***,2007,***,2007,2.3337135314941406,--,23.9,2010,838.9395751953125,--,7.4867658615112305,2007,72.67419512195123,2007,99,2007,97,2007,85.7,2007
63,Iraq,368,IRQ,2007,122,57.92911148071289,***,2008,***,2008,***,2008,***,2008,3.092172622680664,--,21.0,2010,776.891845703125,--,10.400239944458008,2007,68.1990243902439,2007,57,2007,64,2007,80.9,2007
64,Iceland,352,ISL,2007,4,83.11932373046875,***,2008,***,2008,***,2008,***,2008,-1.2407907247543335,--,21.3,2010,354.67431640625,--,7.088878631591797,2007,81.45365853658538,2007,97,2007,95,2007,98.8,2007
65,Israel,376,ISR,2007,25,78.49866485595703,***,2007,***,2007,***,2007,***,2007,-0.9162907600402832,2007,23.5,2010,425.0,2007,6.817315101623535,2007,80.50487804878051,2007,95,2007,97,2007,100.0,2007
66,Italy,380,ITA,2007,28,78.13458251953125,***,2007,***,2007,***,2007,***,2007,-1.2039728164672852,2007,19.6,2010,388.3,2007,7.7741475105285645,2007,81.43414634146342,2007,97,2007,90,2007,99.5,2007
67,Jamaica,388,JAM,2007,64,72.49722290039062,***,2011,***,2011,***,2011,***,2011,-0.6931471824645996,2009,24.5,2010,494.7,2006,9.222928047180176,2007,74.00929268292684,2007,92,2007,76,2007,81.3,2007
68,Jordan,400,JOR,2007,43,74.90545654296875,***,2007,***,2007,***,2007,***,2007,1.603662133216858,--,28.1,2010,651.4129028320312,--,10.786319732666016,2007,72.96117073170733,2007,98,2007,95,2007,98.3,2007
69,Japan,392,JPN,2007,3,83.8884506225586,***,2007,***,2007,***,2007,***,2007,0.09531018137931824,2007,2.9,2010,341.4,2007,9.598993301391602,2007,82.50707317073172,2007,98,2007,96,2007,100.0,2007
70,Kazakhstan,398,KAZ,2007,95,67.2337646484375,***,2007,***,2007,***,2007,***,2007,2.8791985511779785,2007,21.2,2010,1129.5,2007,9.529708862304688,2007,66.5048780487805,2007,93,2007,99,2007,97.2,2007
71,Kenya,404,KEN,2007,117,58.954132080078125,***,2007,***,2007,***,2007,***,2007,3.832329750061035,--,5.6,2010,1079.6024169921875,--,3.227919340133667,2007,55.69929268292683,2007,81,2007,80,2007,28.5,2007
72,Kyrgyzstan,417,KGZ,2007,77,69.9400863647461,***,2007,***,2007,***,2007,***,2007,2.797281265258789,2007,13.0,2010,1007.0,2007,6.582781791687012,2007,67.89512195121952,2007,94,2007,99,2007,92.5,2007
73,Cambodia,116,KHM,2007,114,60.867149353027344,***,2007,***,2007,***,2007,***,2007,2.6922993659973145,--,2.3,2010,797.3990478515625,--,4.748359680175781,2007,64.55234146341463,2007,82,2007,79,2007,28.4,2007
74,South Korea,410,KOR,2007,32,77.68737030029297,***,2007,***,2007,***,2007,***,2007,1.5686159133911133,2007,4.2,2010,461.0,2007,7.785452842712402,2007,79.34951219512195,2007,91,2007,92,2007,100.0,2007
75,Kuwait,414,KWT,2007,36,77.24714660644531,***,2009,***,2009,***,2009,***,2009,0.8754687309265137,2007,36.8,2010,461.5,2007,12.76480484008789,2007,73.81,2007,99,2007,99,2007,100.0,2007
76,Laos,418,LAO,2007,112,60.989891052246094,***,2007,***,2007,***,2007,***,2007,2.321815252304077,--,2.5,2010,857.7302856445312,--,4.9573774337768555,2007,62.82726829268294,2007,50,2007,40,2007,49.6,2007
77,Lebanon,422,LBN,2007,79,69.75592803955078,***,2007,***,2007,***,2007,***,2007,0.555580198764801,--,28.4,2010,482.2596130371094,--,10.004295349121094,2007,77.6159024390244,2007,80,2007,74,2007,81.6,2007
78,Liberia,430,LBR,2007,143,50.90652084350586,***,2007,***,2007,***,2007,***,2007,3.423896074295044,--,5.4,2010,889.6455688476562,--,4.537051200866699,2007,57.191195121951225,2007,65,2007,71,2007,14.8,2007
79,Libya,434,LBY,2007,49,74.35469818115234,***,2012,***,2012,***,2012,***,2015,1.2727760076522827,--,30.0,2010,375.77197265625,--,10.490287780761719,2007,71.73863414634148,2007,98,2007,98,2007,96.5,2007
80,Sri Lanka,144,LKA,2007,42,75.07901763916016,***,2007,***,2007,***,2007,***,2007,2.118410348892212,--,4.8,2010,658.5,2006,6.078000068664551,2007,74.19412195121953,2007,98,2007,98,2007,88.5,2007
81,Lesotho,426,LSO,2007,127,57.28805160522461,***,2011,***,2011,***,2011,***,2011,1.8796577453613281,--,12.8,2010,698.7149047851562,--,5.521418571472168,2007,44.88221951219513,2007,88,2007,81,2007,27.1,2007
82,Lithuania,440,LTU,2007,94,67.43194580078125,***,2007,***,2007,***,2007,***,2007,2.140066146850586,2007,23.8,2010,858.8,2007,8.635950088500977,2007,70.9,2007,95,2007,97,2007,89.3,2007
83,Luxembourg,442,LUX,2007,2,84.00080108642578,***,2008,***,2008,***,2008,***,2008,-2.009472131729126,--,20.8,2010,116.2523422241211,--,6.608485698699951,2007,79.3829268292683,2007,99,2007,96,2007,97.6,2007
84,Latvia,428,LVA,2007,88,68.02362060546875,***,2007,***,2007,***,2007,***,2007,1.6292405128479004,2007,22.2,2010,877.0,2007,8.519210815429688,2007,71.01951219512196,2007,94,2007,95,2007,84.3,2007
85,Morocco,504,MAR,2007,91,67.7114486694336,***,2011,***,2010,***,2011,***,2011,2.6081936359405518,--,20.2,2010,678.8966064453125,--,9.329769134521484,2007,71.27763414634147,2007,95,2007,95,2007,70.9,2007
86,Moldova,498,MDA,2007,100,63.9920539855957,***,2007,***,2007,***,2007,***,2007,2.760010004043579,2007,13.6,2010,1023.5,2007,7.83865213394165,2007,68.2099024390244,2007,92,2007,96,2007,74.5,2007
87,Madagascar,450,MDG,2007,120,58.36042022705078,***,2008,***,2008,***,2008,***,2008,4.064990997314453,--,4.5,2010,978.7467041015625,--,3.353271484375,2007,62.05300000000001,2007,84,2007,81,2007,11.0,2007
88,Mexico,484,MEX,2007,58,73.36956024169922,***,2007,***,2007,***,2007,***,2007,0.9555114507675171,2007,25.9,2010,574.7,2007,8.878792762756348,2007,75.5879268292683,2007,98,2007,96,2007,80.1,2007
89,Macedonia,807,MKD,2007,72,70.79279327392578,***,2009,***,2009,***,2009,***,2008,0.7419373393058777,2007,18.2,2010,792.1,2007,12.0,2015,74.3229512195122,2007,95,2007,96,2007,90.3,2007
90,Mali,466,MLI,2007,130,55.934547424316406,***,2008,***,2008,***,2008,***,2008,3.3594753742218018,--,5.7,2010,705.2713012695312,--,4.145771026611328,2007,54.2619268292683,2007,74,2007,66,2007,21.1,2007
91,Malta,470,MLT,2007,46,74.49853515625,***,2008,***,2008,***,2008,***,2008,-0.9680723547935486,--,24.7,2010,254.5763702392578,--,9.513609886169434,2007,79.79268292682927,2007,74,2007,79,2007,100.0,2007
92,Montenegro,499,MNE,2007,69,71.94242095947266,***,2009,***,2009,***,2009,***,2008,0.0,2007,18.7,2010,711.7,2007,7.913331031799316,2007,74.04063414634147,2007,92,2007,90,2007,91.9,2007
93,Mongolia,496,MNG,2007,87,68.50121307373047,***,2007,***,2007,***,2007,***,2007,1.1910288333892822,--,14.4,2010,617.91259765625,--,7.014491558074951,2007,66.06817073170733,2007,95,2007,98,2007,54.3,2007
94,Mozambique,508,MOZ,2007,131,54.68153381347656,***,2007,***,2007,***,2007,***,2007,4.509055137634277,--,4.4,2010,1233.7760009765625,--,4.038022041320801,2007,51.62209756097561,2007,75,2007,75,2007,17.4,2007
95,Mauritania,478,MRT,2007,126,57.33353042602539,***,2007,***,2007,***,2007,***,2007,2.1130177974700928,--,8.2,2010,777.4343872070312,--,5.748652458190918,2007,61.13973170731708,2007,75,2007,67,2007,32.0,2007
96,Mauritius,480,MUS,2007,44,74.60076141357422,***,2011,***,2011,***,2011,***,2011,0.09531018137931824,2007,15.0,2010,749.3,2007,12.189107894897461,2007,72.57073170731708,2007,97,2007,98,2007,92.3,2007
97,Malawi,454,MWI,2007,111,61.290794372558594,***,2007,***,2007,***,2007,***,2007,3.6536455154418945,--,4.2,2010,878.1685180664062,--,3.736393928527832,2007,51.512487804878056,2007,87,2007,83,2007,37.4,2007
98,Malaysia,458,MYS,2007,29,78.09380340576172,***,2007,***,2007,***,2007,***,2007,1.3327419757843018,--,10.5,2010,600.9100341796875,--,8.580469131469727,2007,73.81826829268293,2007,97,2007,95,2007,94.2,2007
99,Namibia,516,NAM,2007,108,63.007362365722656,***,2007,***,2007,***,2007,***,2007,1.0934867858886719,--,16.8,2010,746.0214233398438,--,4.578831672668457,2007,58.78080487804879,2007,86,2007,69,2007,30.8,2007
100,Niger,562,NER,2007,137,53.155853271484375,***,2007,***,2007,***,2007,***,2007,3.9855830669403076,--,3.7,2010,742.4072265625,--,3.5776288509368896,2007,55.4550243902439,2007,57,2007,60,2007,8.5,2007
101,Nigeria,566,NGA,2007,144,50.04842758178711,***,2007,***,2007,***,2007,***,2007,4.263279914855957,--,8.9,2010,1034.018798828125,--,3.7706995010375977,2007,49.80814634146342,2007,42,2007,41,2007,31.5,2007
102,Nicaragua,558,NIC,2007,76,70.26712036132812,***,2007,***,2007,***,2007,***,2007,2.0003669261932373,--,15.7,2010,672.4088134765625,--,6.804869651794434,2007,72.57165853658537,2007,93,2007,99,2007,61.6,2007
103,Netherlands,528,NLD,2007,9,81.33692169189453,***,2007,***,2007,***,2007,***,2007,-1.6094379425048828,2007,18.0,2010,433.0,2007,5.810285568237305,2007,80.09756097560975,2007,96,2007,96,2007,97.9,2007
104,Norway,578,NOR,2007,12,80.62454223632812,***,2008,***,2008,***,2008,***,2008,-1.2039728164672852,2007,21.6,2010,423.9,2007,6.659806251525879,2007,80.39512195121952,2007,93,2007,92,2007,98.1,2007
105,Nepal,524,NPL,2007,110,62.34112548828125,***,2007,***,2007,***,2007,***,2007,3.6403963565826416,--,2.7,2010,983.3009033203125,--,7.768138885498047,2007,66.55192682926831,2007,82,2007,81,2007,33.1,2007
106,New Zealand,554,NZL,2007,20,78.73135375976562,***,2007,***,2007,***,2007,***,2007,-1.6094379425048828,2007,26.5,2010,426.1,2007,7.961729049682617,2007,80.15121951219513,2007,88,2007,79,2007,99.75,--
107,Oman,512,OMN,2007,27,78.2685775756836,***,2011,***,2011,***,--,***,2011,-0.10536051541566849,2009,28.4,2010,511.7,2009,7.6680169105529785,2007,75.12360975609757,2007,99,2007,97,2007,95.0,2007
108,Pakistan,586,PAK,2007,116,58.980224609375,***,2007,***,2007,***,2007,***,2007,3.8309097290039062,--,4.7,2010,890.4434814453125,--,8.346113204956055,2007,64.3387317073171,2007,75,2007,67,2007,49.4,2007
109,Panama,591,PAN,2007,55,73.67328643798828,***,2007,***,2007,***,2007,***,2007,1.7404661178588867,2007,23.7,2010,484.1,2007,7.345258712768555,2007,76.31446341463416,2007,85,2007,95,2007,70.7,2007
110,Peru,604,PER,2007,80,69.26854705810547,***,2007,***,2007,***,2007,***,2007,1.8942843675613403,--,18.5,2010,544.3220825195312,--,5.876147270202637,2007,72.99695121951221,2007,93,2007,92,2007,69.4,2007
111,Philippines,608,PHL,2007,96,67.1262435913086,***,2007,***,2007,***,2007,***,2007,3.8220982551574707,2008,4.1,2010,954.2,2008,5.083637237548828,2007,67.47902439024391,2007,87,2007,92,2007,68.4,2007
112,Poland,616,POL,2007,51,74.08261108398438,***,2007,***,2007,***,2007,***,2007,0.3364722430706024,2007,23.1,2010,644.4,2007,8.091878890991211,2007,75.2439024390244,2007,99,2007,98,2007,92.1,2007
113,Portugal,620,PRT,2007,40,76.06928253173828,***,2008,***,2008,***,2008,***,2008,0.3364722430706024,2007,18.4,2010,477.9,2007,8.106748580932617,2007,78.3219512195122,2007,97,2007,95,2007,98.2,2007
114,Paraguay,600,PRY,2007,59,73.01136016845703,***,2007,***,2007,***,2007,***,2007,1.3350011110305786,2007,14.5,2010,545.1,2007,5.712800979614258,2007,71.6948292682927,2007,95,2007,91,2007,78.6,2007
115,Qatar,634,QAT,2007,18,79.3657455444336,***,2008,***,2008,***,2008,***,2008,-2.995732307434082,2007,38.1,2010,476.8,2007,11.68000602722168,2007,77.2868536585366,2007,94,2007,92,2007,98.6,2007
116,Romania,642,ROU,2007,82,68.93157958984375,***,2007,***,2007,***,2007,***,2007,1.7749522924423218,2007,20.2,2010,758.0,2007,7.180137634277344,2007,72.56585365853658,2007,96,2007,97,2007,76.3,2007
117,Russia,643,RUS,2007,102,63.759986877441406,***,2007,***,2007,***,2007,***,2007,2.734367609024048,2007,22.2,2010,1045.2,2007,8.254690170288086,2007,67.49756097560976,2007,98,2007,99,2007,72.3,2007
118,Rwanda,646,RWA,2007,93,67.51461029052734,***,2008,***,2008,***,2008,***,2008,3.051372528076172,--,3.1,2010,653.1983032226562,--,2.252628803253174,2007,57.946000000000005,2007,97,2007,94,2007,54.3,2007
119,Saudi Arabia,682,SAU,2007,38,76.25630187988281,***,2007,***,2007,***,2007,***,2007,1.3611987829208374,--,32.0,2010,608.8474731445312,--,11.131514549255371,2007,73.34507317073171,2007,96,2007,96,2007,100.0,2007
120,Serbia,688,SCG,2007,75,70.38722229003906,***,2009,***,2009,***,2009,***,2008,0.4700036346912384,2007,17.9,2010,768.7,2007,7.661971092224121,2007,73.63170731707318,2007,94,2007,95,2007,96.7,2007
121,Sudan,729,SDN,2007,119,58.5658073425293,***,2009,***,2009,***,2009,***,2009,3.6338658332824707,--,6.3,2010,939.72509765625,--,5.791459083557129,2007,60.700878048780496,2007,84,2007,79,2007,23.4,2007
