,country,isonum,isocode,year,rank_safe,safe,shelter,shelter_year,food,food_year,walking,walking_year,stolen,stolen_year,warcasual,warcasual_year,pts,pts_year,tdeathslnl5,tdeathslnl5_year,refugee_oriln,refugee_oriln_year,bdeathslnl,bdeathslnl_year,rdeathslnl,rdeathslnl_year,homilnl,homilnl_year
30,Colombia,170,COL,2007,147,43.52941131591797,***,2007,***,2007,***,2007,***,2007,4.0,2007,4.0,2007,4.627768039703369,2007,9.428171157836914,2007,1.2699267864227295,2007,2.7536606788635254,2007,3.545577049255371,2007
31,Comoros,174,COM,2007,113,59.596336364746094,***,2009,***,2009,***,2009,***,2009,0.0833461731672287,--,3.0,2007,-0.6931471824645996,2007,4.996048450469971,2007,-4.2985358238220215,2007,2.713466167449951,--,2.08107852935791,2012
32,Costa Rica,188,CRI,2007,60,69.59298706054688,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.6931471824645996,2007,4.4142374992370605,2007,-4.2985358238220215,2007,2.6741485595703125,2007,2.112339735031128,2007
33,Cyprus,196,CYP,2007,22,78.16726684570312,***,2009,***,2009,***,2009,***,2009,0.0,2007,2.0,2007,-0.6931471824645996,2007,2.136091947555542,2007,-4.2985358238220215,2007,2.549445152282715,2007,0.20117980241775513,2007
34,Czech Republic,203,CZE,2007,36,74.98445129394531,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.5,2007,-0.6931471824645996,2007,4.900702953338623,2007,-4.2985358238220215,2007,2.3887627124786377,2007,0.1978914737701416,2007
35,Germany,276,DEU,2007,7,82.93441009521484,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,0.13862943649291992,2007,0.4498499929904938,2007,-4.2985358238220215,2007,1.7578579187393188,2007,-0.09901166707277298,2007
36,Djibouti,262,DJI,2007,79,65.00688171386719,***,2008,***,2008,***,2008,***,2008,0.0,2007,3.0,2007,-0.6931471824645996,2007,6.6978983879089355,2007,-4.2985358238220215,2007,2.2559146881103516,--,1.9488693475723267,2012
37,Denmark,208,DNK,2007,5,83.99838256835938,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.6931471824645996,2007,0.94134521484375,2007,-4.2985358238220215,2007,1.9169225692749023,2007,-0.3378542363643646,2007
38,Dominican Republic,214,DOM,2007,107,60.64470291137695,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.6931471824645996,2007,3.6287848949432373,2007,-4.2985358238220215,2007,3.1546576023101807,--,3.089005947113037,2007
39,Algeria,12,DZA,2007,90,63.56864547729492,***,2010,***,2010,***,2010,***,2010,0.0,2007,3.5,2007,5.397522449493408,2007,5.735987186431885,2007,2.6229429244995117,2007,2.653715133666992,--,-0.2585831582546234,2007
40,Ecuador,218,ECU,2007,102,62.17366027832031,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.6931471824645996,2007,4.540809154510498,2007,-4.2985358238220215,2007,3.0056827068328857,2007,2.768223524093628,2007
41,Egypt,818,EGY,2007,58,69.9237289428711,***,2008,***,2008,***,2007,***,2008,0.0,2007,3.5,2007,1.9435038566589355,2007,4.472894668579102,2007,-4.2985358238220215,2007,2.4849066734313965,2007,-0.0876549780368805,2007
42,Spain,724,ESP,2007,29,76.74177551269531,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,1.1336309909820557,2007,-0.09811782836914062,2007,-4.2985358238220215,2007,2.140066146850586,2007,0.07618971168994904,2007
43,Estonia,233,EST,2007,57,70.14618682861328,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.6931471824645996,2007,5.275167465209961,2007,-4.2985358238220215,2007,2.6741485595703125,2007,1.9575947523117065,2007
44,Ethiopia,231,ETH,2007,127,56.41617202758789,***,2012,***,2012,***,2012,***,2012,1.0,2007,4.0,2007,2.1386797428131104,2007,6.606616020202637,2007,0.783035159111023,2007,2.616250991821289,--,2.085977077484131,2012
45,Finland,246,FIN,2007,13,80.8897933959961,***,2008,***,2008,***,2008,***,2008,0.0,2007,1.0,2007,-0.1150728240609169,2007,-0.279281884431839,2007,-4.2985358238220215,2007,2.079441547393799,2007,0.8909817337989807,2007
46,France,250,FRA,2007,26,77.87024688720703,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.19616584479808807,2007,0.45598387718200684,2007,-4.2985358238220215,2007,1.9878743886947632,2007,0.4676157236099243,2007
47,Gabon,266,GAB,2007,129,56.04828643798828,***,2011,***,2011,***,2011,***,2011,0.01958085410296917,--,3.0,2007,-0.6931471824645996,2007,4.3883209228515625,2007,-4.2985358238220215,2007,2.6570818424224854,--,2.241772174835205,2012
48,United Kingdom,826,GBR,2007,32,76.40546417236328,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,0.9472396969795227,2007,1.1871587038040161,2007,-4.2985358238220215,2007,1.667706847190857,2007,0.35896262526512146,2007
49,Georgia,268,GEO,2007,112,59.95302200317383,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,0.3218875825405121,2007,7.970114707946777,2007,-4.2985358238220215,2007,1.4586150646209717,2007,2.0089938640594482,2007
50,Ghana,288,GHA,2007,68,67.73715209960938,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,5.414953708648682,2007,-4.2985358238220215,2007,2.7201967239379883,--,0.5717212557792664,2007
51,Guinea,324,GIN,2007,132,55.047977447509766,***,2011,***,2011,***,2011,***,2011,0.0,2007,4.0,2007,-0.6931471824645996,2007,6.703634738922119,2007,-4.2985358238220215,2007,2.7786920070648193,--,2.2002806663513184,2012
52,Greece,300,GRC,2007,27,77.57604217529297,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,2.1194963455200195,2007,-4.2985358238220215,2007,2.687847375869751,2007,0.16099213063716888,2007
53,Guatemala,320,GTM,2007,104,61.87921905517578,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.5,2007,0.2643511891365051,2007,6.101497650146484,2007,-4.2985358238220215,2007,1.3350011110305786,2007,3.7706356048583984,2007
54,Guyana,328,GUY,2007,78,65.0151138305664,***,2007,***,2007,***,2007,***,2007,0.008668450638651848,--,2.0,2007,-0.19616584479808807,2007,6.81118631362915,2007,-4.2985358238220215,2007,3.440418004989624,2007,2.70318341255188,2007
55,Hong Kong,344,HKG,2007,2,84.8575439453125,***,2008,***,2008,***,2008,***,2008,0.03646807745099068,--,2.0,--,-0.6931471824645996,2007,0.46401432156562805,2007,-4.2985358238220215,2007,0.6931471824645996,2007,-1.3487581014633179,2007
56,Honduras,340,HND,2007,117,59.39493179321289,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,0.11192317306995392,2007,5.1548004150390625,2007,-4.2985358238220215,2007,2.7011544704437256,--,3.9116835594177246,2007
57,Croatia,191,HRV,2007,35,75.32318115234375,***,2009,***,2009,***,2011,***,2009,0.0,2007,1.0,2007,-0.6931471824645996,2007,10.027393341064453,2007,-4.2985358238220215,2007,2.660259485244751,2007,0.3336775004863739,2007
58,Hungary,348,HUN,2007,40,74.22212219238281,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.6931471824645996,2007,5.819256782531738,2007,-4.2985358238220215,2007,2.59525465965271,2007,0.42572221159935,2007
59,Indonesia,360,IDN,2007,43,73.63910675048828,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,2.4568066596984863,2007,4.482989311218262,2007,-4.2985358238220215,2007,2.1847264766693115,--,-0.4443686306476593,2004
60,India,356,IND,2007,138,51.68043518066406,***,2007,***,2007,***,2007,***,2007,7.0,2007,4.0,2007,6.228022575378418,2007,2.8535170555114746,2007,-0.08459009230136871,2007,2.4548685550689697,--,1.2759745121002197,2007
61,Ireland,372,IRL,2007,18,79.91641235351562,***,2008,***,2008,***,2008,***,2008,0.0,2007,1.5,2007,-0.5545177459716797,2007,0.8212210536003113,2007,-4.2985358238220215,2007,1.8870697021484375,2007,0.5977118611335754,2007
62,Iran,364,IRN,2007,119,58.94451904296875,***,2007,***,2007,***,2007,***,2007,0.0,2007,4.0,2007,1.6455819606781006,2007,6.860302448272705,2007,-0.6892626881599426,2007,2.7923338413238525,--,1.562819242477417,2012
63,Iraq,368,IRQ,2007,146,43.585716247558594,***,2008,***,2008,***,2008,***,2008,0.0,2007,5.0,2007,7.769232273101807,2007,11.305213928222656,2007,4.467585563659668,2007,2.4037020206451416,--,4.180502414703369,2007
64,Iceland,352,ISL,2007,9,82.37683868408203,***,2008,***,2008,***,2008,***,2008,7.140824820339731e-09,--,1.0,2007,-0.6931471824645996,2007,3.1120543479919434,2007,-4.2985358238220215,2007,1.2596100568771362,--,-0.4218534231185913,2007
65,Israel,376,ISR,2007,94,63.11334228515625,***,2007,***,2007,***,2007,***,2007,2.0,2007,2.5,2007,3.9372382164001465,2007,5.368873596191406,2007,3.634488821029663,2007,1.808288812637329,2007,0.5898590087890625,2007
66,Italy,380,ITA,2007,24,77.9935302734375,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.41588830947875977,2007,0.4318380057811737,2007,-4.2985358238220215,2007,2.219203472137451,2007,0.05898810178041458,2007
67,Jamaica,388,JAM,2007,111,60.000282287597656,***,2011,***,2011,***,2011,***,2011,0.0,2007,3.0,2007,-0.6931471824645996,2007,5.661923885345459,2007,-4.2985358238220215,2007,0.7419373393058777,2006,4.068225383758545,2007
68,Jordan,400,JOR,2007,37,74.46345520019531,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,0.4095385670661926,2007,5.754693031311035,2007,-4.2985358238220215,2007,2.916118860244751,--,0.6832222938537598,2007
69,Japan,392,JPN,2007,4,84.09196472167969,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.6931471824645996,2007,1.4037119150161743,2007,-4.2985358238220215,2007,1.5260562896728516,2007,-0.796100378036499,2007
70,Kazakhstan,398,KAZ,2007,80,64.88011169433594,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,5.823302268981934,2007,-4.2985358238220215,2007,3.430756092071533,2007,2.375464677810669,2007
71,Kenya,404,KEN,2007,133,53.928672790527344,***,2007,***,2007,***,2007,***,2007,1.0,2007,4.0,2007,2.163539171218872,2007,5.3111066818237305,2007,3.0594170093536377,2007,2.8023695945739746,--,1.2217646837234497,2007
72,Kyrgyzstan,417,KGZ,2007,84,64.16121673583984,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.41588830947875977,2007,6.058734893798828,2007,-4.2985358238220215,2007,3.0106208324432373,2007,2.1159112453460693,2007
73,Cambodia,116,KHM,2007,116,59.41368865966797,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.5,2007,-0.5545177459716797,2007,7.162057399749756,2007,-4.2985358238220215,2007,2.5485639572143555,--,1.2034425735473633,2007
74,South Korea,410,KOR,2007,33,76.16957092285156,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.6931471824645996,2007,3.196451187133789,2007,-4.2985358238220215,2007,2.6318888664245605,2007,-0.12947799265384674,2011
75,Kuwait,414,KWT,2007,31,76.69145202636719,***,2009,***,2009,***,--,***,2009,0.0,2007,2.0,2007,-0.27725887298583984,2007,5.683116436004639,2007,-4.2985358238220215,2007,2.8332133293151855,2007,0.8369314670562744,2007
76,Laos,418,LAO,2007,77,65.0899658203125,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.09400071948766708,2007,7.429992198944092,2007,-4.2985358238220215,2007,2.3787338733673096,--,1.9788343906402588,2012
77,Lebanon,422,LBN,2007,75,65.753662109375,***,2007,***,2007,***,2007,***,2007,1.0,2007,3.5,2007,2.072688102722168,2007,8.07248306274414,2007,-4.2985358238220215,2007,2.5934696197509766,--,1.4751343727111816,2008
78,Liberia,430,LBR,2007,139,50.34111785888672,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.41588830947875977,2007,10.165406227111816,2007,-4.2985358238220215,2007,2.8950724601745605,--,1.0434726476669312,2007
79,Libya,434,LBY,2007,93,63.27560043334961,***,2012,***,2012,***,--,***,--,1.146601676940918,--,3.0,2007,-0.6931471824645996,2007,5.7829132080078125,2007,-4.2985358238220215,2007,3.8384647369384766,--,0.9260903596878052,2012
80,Sri Lanka,144,LKA,2007,145,44.46879196166992,***,2007,***,2007,***,2007,***,2007,5.0,2007,5.0,2007,4.860169410705566,2007,8.814993858337402,2007,4.823962688446045,2007,2.5416018962860107,2006,2.1030783653259277,2007
81,Lesotho,426,LSO,2007,122,58.05934524536133,***,2011,***,2011,***,2011,***,2011,0.0561593696475029,--,3.0,2007,-0.6931471824645996,2007,1.2751845121383667,2007,-4.2985358238220215,2007,2.7486698627471924,--,3.8234474658966064,2007
82,Lithuania,440,LTU,2007,62,68.97278594970703,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.6931471824645996,2007,4.9713029861450195,2007,-4.2985358238220215,2007,3.222867727279663,2007,2.161383867263794,2007
83,Luxembourg,442,LUX,2007,8,82.50595092773438,***,2008,***,2008,***,2008,***,2008,0.0,2007,1.0,2007,-0.6931471824645996,2007,1.427130937576294,2007,-4.2985358238220215,2007,2.116316318511963,--,0.38504502177238464,2007
84,Latvia,428,LVA,2007,53,70.82866668701172,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.5,2007,-0.6931471824645996,2007,5.706660270690918,2007,-4.2985358238220215,2007,2.975529670715332,2007,1.4672935009002686,2007
85,Morocco,504,MAR,2007,54,70.56077575683594,***,2010,***,2010,***,2010,***,2010,0.0,2007,3.0,2007,0.7613325119018555,2007,4.8694000244140625,2007,-4.2985358238220215,2007,2.434652805328369,--,0.5222678184509277,2007
86,Moldova,498,MDA,2007,100,62.35492706298828,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.41588830947875977,2007,7.226158142089844,2007,-4.2985358238220215,2007,2.7212953567504883,2007,1.7764019966125488,2007
87,Madagascar,450,MDG,2007,71,67.25762176513672,***,2008,***,2008,***,2008,***,2008,1.1651697158813477,--,2.0,2007,-0.6931471824645996,2007,2.6851954460144043,2007,-4.2985358238220215,2007,2.732539653778076,--,1.1001070737838745,2007
88,Mexico,484,MEX,2007,115,59.46743392944336,***,2007,***,2007,***,2007,***,2007,4.0,2007,3.0,2007,1.1715866327285767,2007,3.8968889713287354,2007,-4.2985358238220215,2007,2.6741485595703125,2007,2.05544114112854,2007
89,Macedonia,807,MKD,2007,56,70.27278137207031,***,2009,***,2009,***,2011,***,2009,0.0,2007,2.5,2007,-0.6931471824645996,2007,8.278240203857422,2007,-4.2985358238220215,2007,2.1041340827941895,2007,0.6947579979896545,2007
90,Mali,466,MLI,2007,70,67.43268585205078,***,2008,***,2008,***,2008,***,2008,0.0,2007,2.0,2007,0.04462871700525284,2007,5.788788795471191,2007,1.0418519973754883,2007,2.621157646179199,--,2.416508197784424,2012
91,Malta,470,MLT,2007,14,80.77642822265625,***,2008,***,2008,***,2008,***,2008,0.0010700584389269352,--,1.5,2007,-0.6931471824645996,2007,3.0968451499938965,2007,-4.2985358238220215,2007,0.8833920359611511,--,-0.04554681479930878,2007
92,Montenegro,499,MNE,2007,38,74.32220458984375,***,2009,***,2009,***,2011,***,2009,0.0,2007,2.0,2007,-0.6931471824645996,2007,6.807276725769043,2007,-4.2985358238220215,2007,2.424802780151367,2007,0.6639120578765869,2007
93,Mongolia,496,MNG,2007,97,62.62114715576172,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,6.051245212554932,2007,-4.2985358238220215,2007,2.484682559967041,--,2.4239747524261475,2007
94,Mozambique,508,MOZ,2007,88,63.7728157043457,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.19616584479808807,2007,2.295419931411743,2007,-4.2985358238220215,2007,3.0449841022491455,--,1.3426707983016968,2007
95,Mauritania,478,MRT,2007,96,62.712947845458984,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,0.07258109748363495,2007,9.205073356628418,2007,-4.2985358238220215,2007,2.719576120376587,--,2.430340051651001,2012
96,Mauritius,480,MUS,2007,44,73.08642578125,***,2011,***,2011,***,2011,***,2011,0.02126583643257618,--,2.0,2007,-0.6931471824645996,2007,4.0478668212890625,2007,-4.2985358238220215,2007,2.4849066734313965,2007,1.1305584907531738,2009
97,Malawi,454,MWI,2007,81,64.59579467773438,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,1.9721415042877197,2007,-4.2985358238220215,2007,2.9753096103668213,--,1.6157069206237793,2007
98,Malaysia,458,MYS,2007,39,74.28936004638672,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,3.135812997817993,2007,-4.2985358238220215,2007,2.7308263778686523,--,0.8885420560836792,2007
99,Namibia,516,NAM,2007,105,61.74755096435547,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.6931471824645996,2007,6.294308662414551,2007,-4.2985358238220215,2007,2.8704161643981934,--,2.8662402629852295,2004
100,Niger,562,NER,2007,106,61.706626892089844,***,2007,***,2008,***,2007,***,2007,0.0,2007,3.5,2007,0.28341323137283325,2007,4.041752338409424,2007,1.7183966636657715,2007,2.619168758392334,--,1.6337954998016357,2011
101,Nigeria,566,NGA,2007,131,55.376625061035156,***,2007,***,2007,***,2007,***,2007,1.0,2007,3.5,2007,3.986853837966919,2007,4.548462390899658,2007,-4.2985358238220215,2007,2.468926191329956,--,2.3298709392547607,2012
102,Nicaragua,558,NIC,2007,86,63.9580192565918,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.5,2007,-0.6931471824645996,2007,5.840847492218018,2007,-4.2985358238220215,2007,2.627316474914551,--,2.5463292598724365,2007
103,Netherlands,528,NLD,2007,6,83.21546936035156,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.5545177459716797,2007,0.9650354981422424,2007,-4.2985358238220215,2007,1.504077434539795,2007,-0.13963107764720917,2007
104,Norway,578,NOR,2007,3,84.70748901367188,***,2008,***,2008,***,2008,***,2008,0.0,2007,1.0,2007,-0.6931471824645996,2007,-0.4508957862854004,2007,-4.2985358238220215,2007,1.667706847190857,2007,-0.4534252882003784,2007
105,Nepal,524,NPL,2007,73,66.5812759399414,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.5,2007,4.712631702423096,2007,4.860345363616943,2007,-4.2985358238220215,2007,2.3354692459106445,--,1.2358289957046509,2007
106,New Zealand,554,NZL,2007,19,78.84187316894531,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.6931471824645996,2007,1.1242141723632812,2007,-4.2985358238220215,2007,2.424802780151367,2007,0.1257677972316742,2007
107,Oman,512,OMN,2007,25,77.88651275634766,***,2011,***,2011,***,--,***,--,5.8504592281849455e-09,--,1.0,2007,-0.6931471824645996,2007,2.8080954551696777,2007,-4.2985358238220215,2007,3.222867727279663,2009,-0.35601767897605896,2007
108,Pakistan,586,PAK,2007,140,48.78219223022461,***,2007,***,2007,***,2007,***,2007,6.0,2007,4.0,2007,5.6999382972717285,2007,5.295322895050049,2007,1.5220597982406616,2007,2.2586679458618164,--,1.8624353408813477,2007
109,Panama,591,PAN,2007,63,68.88107299804688,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.6931471824645996,2007,3.4563422203063965,2007,-4.2985358238220215,2007,2.602689743041992,2007,2.543041467666626,2007
110,Peru,604,PER,2007,110,60.273414611816406,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.5,2007,2.1039724349975586,2007,5.6119384765625,2007,0.12312963604927063,2007,2.637756586074829,--,2.3376717567443848,2007
111,Philippines,608,PHL,2007,141,47.602176666259766,***,2007,***,2007,***,2007,***,2007,3.0,2007,4.0,2007,4.744386672973633,2007,2.859050989151001,2007,1.5962506532669067,2007,2.261763095855713,2008,1.865218162536621,2007
112,Poland,616,POL,2007,34,75.73684692382812,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.6931471824645996,2007,4.336871147155762,2007,-4.2985358238220215,2007,2.6390573978424072,2007,0.31826210021972656,2007
