,country,isonum,isocode,year,rank_soci,soci,strange,strange_year,polic,polic_year,respect,respect_year,friends,friends_year,voice,voice_year,vtf,vtf_year,finhelp,finhelp_year,volunt,volunt_year,help,help_year,donate,donate_year
16,Belarus,112,BLR,2007,135,40.6600456237793,***,2007,***,2007,***,2007,***,2010,***,2007,13.521000862121582,2007,***,2011,***,2007,***,2007,***,2007
17,Belize,84,BLZ,2007,69,50.025821685791016,***,2007,***,2007,***,2007,***,2014,***,2007,71.5679931640625,2007,***,2014,***,2007,***,2007,***,2007
18,Bolivia,68,BOL,2007,74,49.45723342895508,***,2007,***,2007,***,2007,***,2010,***,2007,76.05899810791016,2007,***,2012,***,2007,***,2007,***,2007
19,Brazil,76,BRA,2007,41,53.179229736328125,***,2007,***,2007,***,2007,***,2010,***,2007,74.9429931640625,2007,***,2012,***,2007,***,2007,***,2007
20,Botswana,72,BWA,2007,52,52.1627311706543,***,2008,***,2008,***,2008,***,2010,***,2008,68.57999420166016,2007,***,2012,***,2008,***,2008,***,2008
21,Central African Republic,140,CAF,2007,75,49.44056701660156,***,2007,***,2007,***,2007,***,2010,***,2007,32.692501068115234,2007,***,--,***,2007,***,2007,***,2007
22,Canada,124,CAN,2007,4,65.7699966430664,***,2007,***,2007,***,2007,***,2010,***,2007,64.94000244140625,2007,***,2012,***,2007,***,2008,***,2007
23,Switzerland,756,CHE,2007,13,61.28546142578125,***,2009,***,2009,***,2009,***,2012,***,2012,48.279998779296875,2007,***,2012,***,2009,***,2009,***,2009
24,Chile,152,CHL,2007,38,53.621368408203125,***,2007,***,2007,***,2007,***,2010,***,2007,87.66999816894531,2007,***,2011,***,2007,***,2007,***,2007
25,China,156,CHN,2007,134,40.90909194946289,***,2007,***,--,***,2007,***,2010,***,2008,0.0,2007,***,2011,***,2007,***,2007,***,2007
26,Ivory Coast,384,CIV,2007,138,40.216819763183594,***,2009,***,2009,***,2009,***,2013,***,2013,15.770000457763672,2007,***,2013,***,2009,***,2009,***,2009
27,Cameroon,120,CMR,2007,88,47.527408599853516,***,2007,***,2007,***,2007,***,2010,***,2007,18.60300064086914,2007,***,2012,***,2007,***,2007,***,2007
28,Democratic Republic of Congo,180,COD,2007,131,41.21443176269531,***,2009,***,2009,***,2009,***,2011,***,2012,52.717498779296875,2007,***,2012,***,2009,***,2009,***,2009
29,Congo,178,COG,2007,137,40.400360107421875,***,2008,***,2008,***,2008,***,2011,***,2008,20.808000564575195,2007,***,2012,***,2008,***,2008,***,2008
30,Colombia,170,COL,2007,37,53.92802429199219,***,2007,***,2007,***,2007,***,2010,***,2007,34.41650390625,2007,***,2011,***,2007,***,2007,***,2007
31,Comoros,174,COM,2007,122,41.86363220214844,***,2009,***,2009,***,2009,***,2010,***,2010,0.0,2007,***,2012,***,2009,***,2009,***,2009
32,Costa Rica,188,CRI,2007,28,55.96045684814453,***,2007,***,2007,***,2007,***,2010,***,2007,65.12999725341797,2007,***,2011,***,2007,***,2007,***,2007
33,Cyprus,196,CYP,2007,35,54.8636360168457,***,2009,***,2009,***,2009,***,2010,***,2010,89.0,2007,***,2012,***,2009,***,2009,***,2009
34,Czech Republic,203,CZE,2007,79,48.23847579956055,***,2007,***,2007,***,2007,***,2010,***,2007,61.24650192260742,2007,***,2012,***,2007,***,2007,***,2007
35,Germany,276,DEU,2007,16,60.84773635864258,***,2007,***,2007,***,2007,***,2010,***,2007,77.6500015258789,2007,***,2012,***,2007,***,2007,***,2007
36,Djibouti,262,DJI,2007,53,52.04781723022461,***,2008,***,2008,***,2008,***,2011,***,2008,29.052000045776367,2007,***,--,***,2008,***,2008,***,2008
37,Denmark,208,DNK,2007,7,65.2086410522461,***,2007,***,2007,***,2007,***,2010,***,2007,86.58999633789062,2007,***,2012,***,2007,***,2007,***,2007
38,Dominican Republic,214,DOM,2007,44,52.85518264770508,***,2007,***,2007,***,2007,***,2010,***,2007,50.81399917602539,2007,***,2011,***,2007,***,2007,***,2007
39,Algeria,12,DZA,2007,110,44.37754821777344,***,2010,***,2012,***,2010,***,2011,***,2012,21.305999755859375,2007,***,2012,***,2010,***,2011,***,2010
40,Ecuador,218,ECU,2007,92,46.89204406738281,***,2007,***,2007,***,2007,***,2010,***,2007,47.625,2007,***,2013,***,2007,***,2007,***,2007
41,Egypt,818,EGY,2007,130,41.265708923339844,***,2007,***,2009,***,2007,***,2010,***,2007,9.845499992370605,2007,***,2013,***,2007,***,2007,***,2007
42,Spain,724,ESP,2007,27,56.39364242553711,***,2007,***,2007,***,2007,***,2010,***,2007,75.66000366210938,2007,***,2012,***,2007,***,2007,***,2007
43,Estonia,233,EST,2007,95,46.67338562011719,***,2007,***,2007,***,2007,***,2011,***,2007,58.81449890136719,2007,***,2012,***,2007,***,2007,***,2007
44,Ethiopia,231,ETH,2007,120,42.17772674560547,***,2012,***,2013,***,2012,***,2013,***,2013,28.90999984741211,2007,***,2012,***,2012,***,2012,***,2012
45,Finland,246,FIN,2007,14,60.86455154418945,***,2008,***,2008,***,2008,***,2010,***,2008,65.0199966430664,2007,***,2012,***,2008,***,2008,***,2008
46,France,250,FRA,2007,19,58.72641372680664,***,2007,***,2007,***,2007,***,2010,***,2007,56.98099899291992,2007,***,2012,***,2007,***,2007,***,2007
47,Gabon,266,GAB,2007,117,42.5,***,2011,***,2011,***,2011,***,2011,***,2012,0.0,2007,***,2012,***,2011,***,2011,***,2011
48,United Kingdom,826,GBR,2007,12,61.38001251220703,***,2007,***,2007,***,2007,***,2010,***,2007,61.36000061035156,2007,***,2012,***,2007,***,2007,***,2007
49,Georgia,268,GEO,2007,140,39.279273986816406,***,2007,***,2007,***,2007,***,2010,***,2007,51.14400100708008,2007,***,2012,***,2007,***,2007,***,2007
50,Ghana,288,GHA,2007,32,55.11854934692383,***,2007,***,2007,***,2007,***,2010,***,2007,76.60800170898438,2007,***,2012,***,2007,***,2007,***,2007
51,Guinea,324,GIN,2007,94,46.79050064086914,***,2011,***,2011,***,2011,***,2011,***,2012,32.39099884033203,2007,***,2012,***,2011,***,2011,***,2011
52,Greece,300,GRC,2007,102,45.142730712890625,***,2007,***,2007,***,2007,***,2010,***,2007,74.13999938964844,2007,***,2012,***,2007,***,2007,***,2007
53,Guatemala,320,GTM,2007,55,51.51881408691406,***,2007,***,2007,***,2007,***,2010,***,2007,54.413997650146484,2007,***,2011,***,2007,***,2007,***,2007
54,Guyana,328,GUY,2007,36,54.54800033569336,***,2007,***,2007,***,2007,***,--,***,2007,55.055999755859375,2007,***,--,***,2007,***,2007,***,2007
55,Hong Kong,344,HKG,2007,47,52.409088134765625,***,2008,***,2008,***,2008,***,2010,***,2008,0.0,2007,***,2012,***,2008,***,2008,***,2008
56,Honduras,340,HND,2007,61,51.09429931640625,***,2007,***,2007,***,2007,***,2010,***,2007,39.074501037597656,2007,***,2011,***,2007,***,2007,***,2007
57,Croatia,191,HRV,2007,123,41.84550476074219,***,2009,***,2009,***,2009,***,2012,***,2012,56.60100173950195,2007,***,2012,***,2009,***,2009,***,2009
58,Hungary,348,HUN,2007,76,48.616817474365234,***,2007,***,2007,***,2007,***,2010,***,2007,67.56999969482422,2007,***,2012,***,2007,***,2007,***,2007
59,Indonesia,360,IDN,2007,65,50.803680419921875,***,2007,***,2007,***,2007,***,2010,***,2007,75.68099212646484,2007,***,2012,***,2007,***,2007,***,2007
60,India,356,IND,2007,142,38.78030014038086,***,2007,***,2007,***,2007,***,2010,***,2007,55.166500091552734,2007,***,2012,***,2007,***,2007,***,2007
61,Ireland,372,IRL,2007,8,65.0013656616211,***,2008,***,2008,***,2008,***,2010,***,2008,67.02999877929688,2007,***,2012,***,2008,***,2008,***,2008
62,Iran,364,IRN,2007,83,47.81818389892578,***,2007,***,2007,***,2007,***,2011,***,2007,0.0,2007,***,2014,***,2007,***,2007,***,2007
63,Iraq,368,IRQ,2007,114,43.034523010253906,***,2008,***,2008,***,2008,***,2010,***,2008,51.75949478149414,2007,***,2012,***,2008,***,2008,***,2008
64,Iceland,352,ISL,2007,9,63.89091110229492,***,2008,***,2008,***,2008,***,2012,***,2008,83.5999984741211,2007,***,2012,***,2008,***,2008,***,2008
65,Israel,376,ISR,2007,57,51.35636901855469,***,2007,***,2007,***,2007,***,2010,***,2007,50.84000015258789,2007,***,2012,***,2007,***,2007,***,2007
66,Italy,380,ITA,2007,29,55.937278747558594,***,2007,***,2007,***,2007,***,2010,***,2007,83.62000274658203,2007,***,2012,***,2007,***,2007,***,2007
67,Jamaica,388,JAM,2007,46,52.6990966796875,***,2011,***,2011,***,2011,***,2011,***,2013,57.380001068115234,2007,***,2011,***,2011,***,2011,***,2011
68,Jordan,400,JOR,2007,105,44.99545669555664,***,2007,***,2007,***,2007,***,2010,***,2007,18.899999618530273,2007,***,2012,***,2007,***,2007,***,2007
69,Japan,392,JPN,2007,56,51.4754524230957,***,2007,***,2007,***,2007,***,2010,***,2007,67.45999908447266,2007,***,2012,***,2007,***,2007,***,2007
70,Kazakhstan,398,KAZ,2007,129,41.30372619628906,***,2007,***,2007,***,2007,***,2010,***,2007,13.682001113891602,2007,***,2011,***,2007,***,2007,***,2007
71,Kenya,404,KEN,2007,30,55.623931884765625,***,2007,***,2007,***,2007,***,2010,***,2007,58.726497650146484,2007,***,2012,***,2007,***,2007,***,2007
72,Kyrgyzstan,417,KGZ,2007,98,45.63090896606445,***,2007,***,2007,***,2007,***,2010,***,2007,48.87999725341797,2007,***,2011,***,2007,***,2007,***,2007
73,Cambodia,116,KHM,2007,125,41.72418212890625,***,2007,***,2007,***,2008,***,2010,***,2007,49.932003021240234,2007,***,2011,***,2007,***,2007,***,2007
74,South Korea,410,KOR,2007,91,47.044639587402344,***,2007,***,2007,***,2007,***,2010,***,2007,53.981998443603516,2007,***,2012,***,2007,***,2007,***,2007
75,Kuwait,414,KWT,2007,25,56.4903678894043,***,2009,***,--,***,2009,***,2010,***,2010,13.788000106811523,2007,***,2014,***,2009,***,2009,***,2009
76,Laos,418,LAO,2007,49,52.36199951171875,***,2007,***,2007,***,2007,***,2011,***,2007,14.964000701904297,2007,***,2011,***,2007,***,2007,***,2007
77,Lebanon,422,LBN,2007,64,50.82617950439453,***,2007,***,2007,***,2007,***,2010,***,2007,37.176002502441406,2007,***,2012,***,2007,***,2007,***,2007
78,Liberia,430,LBR,2007,45,52.781455993652344,***,2007,***,2007,***,2007,***,2010,***,2007,61.19199752807617,2007,***,2013,***,2007,***,2007,***,2007
79,Libya,434,LBY,2007,39,53.590911865234375,***,2012,***,--,***,2012,***,2015,***,2012,0.0,2007,***,2012,***,2012,***,2012,***,2012
80,Sri Lanka,144,LKA,2007,63,50.853092193603516,***,2007,***,2007,***,2007,***,2010,***,2007,60.768001556396484,2007,***,2011,***,2007,***,2007,***,2007
81,Lesotho,426,LSO,2007,80,48.18636703491211,***,2011,***,2011,***,2011,***,2011,***,--,44.099998474121094,2007,***,--,***,2011,***,2011,***,2011
82,Lithuania,440,LTU,2007,143,37.81999969482422,***,2007,***,2007,***,2007,***,2010,***,2007,46.040000915527344,2007,***,2012,***,2007,***,2007,***,2007
83,Luxembourg,442,LUX,2007,11,61.6218147277832,***,2008,***,2008,***,2008,***,2010,***,2008,91.68000030517578,2007,***,2012,***,2008,***,2008,***,2008
84,Latvia,428,LVA,2007,96,46.267364501953125,***,2007,***,2007,***,2007,***,2011,***,2007,54.88199996948242,2007,***,2012,***,2007,***,2007,***,2007
85,Morocco,504,MAR,2007,121,42.06364059448242,***,2010,***,2012,***,2010,***,2011,***,2012,7.400000095367432,2007,***,2012,***,2010,***,2011,***,2010
86,Moldova,498,MDA,2007,100,45.436275482177734,***,2007,***,2007,***,2007,***,2010,***,2007,61.59799575805664,2007,***,2011,***,2007,***,2007,***,2007
87,Madagascar,450,MDG,2007,132,41.03096008300781,***,2008,***,2008,***,2008,***,2011,***,2008,57.68100357055664,2007,***,2012,***,2008,***,2008,***,2008
88,Mexico,484,MEX,2007,85,47.72772979736328,***,2007,***,2007,***,2007,***,2010,***,2007,53.0099983215332,2007,***,2011,***,2007,***,2007,***,2007
89,Macedonia,807,MKD,2007,119,42.19004821777344,***,2009,***,2009,***,2009,***,2012,***,2012,53.180999755859375,2007,***,2012,***,2009,***,2009,***,2009
90,Mali,466,MLI,2007,111,44.289161682128906,***,2008,***,2008,***,2008,***,2010,***,2008,27.361499786376953,2007,***,2012,***,2008,***,2008,***,2008
91,Malta,470,MLT,2007,15,60.850006103515625,***,2008,***,2008,***,2008,***,2010,***,2008,95.69999694824219,2007,***,2012,***,2008,***,2008,***,2008
92,Montenegro,499,MNE,2007,106,44.974891662597656,***,2009,***,2009,***,2009,***,2012,***,2012,68.44750213623047,2007,***,2012,***,2009,***,2009,***,2009
93,Mongolia,496,MNG,2007,84,47.76545715332031,***,2007,***,2007,***,2007,***,2010,***,2007,81.83999633789062,2007,***,2011,***,2007,***,2007,***,2007
94,Mozambique,508,MOZ,2007,93,46.87522888183594,***,2007,***,2007,***,2007,***,2011,***,2007,27.255001068115234,2007,***,2015,***,2007,***,2007,***,2007
95,Mauritania,478,MRT,2007,97,46.029232025146484,***,2007,***,2007,***,2007,***,2010,***,2007,48.64299774169922,2007,***,2012,***,2007,***,2007,***,2007
96,Mauritius,480,MUS,2007,23,56.92046356201172,***,2011,***,2011,***,2011,***,2011,***,--,81.25,2007,***,2014,***,2011,***,2011,***,2011
97,Malawi,454,MWI,2007,50,52.233821868896484,***,2007,***,2007,***,2007,***,2011,***,2007,48.14400100708008,2007,***,2012,***,2007,***,2007,***,2007
98,Malaysia,458,MYS,2007,60,51.13795852661133,***,2007,***,2007,***,2007,***,2010,***,2007,48.03499984741211,2007,***,2012,***,2007,***,2007,***,2007
99,Namibia,516,NAM,2007,48,52.40217971801758,***,2007,***,2007,***,2007,***,2014,***,2007,67.8479995727539,2007,***,2014,***,2007,***,2007,***,2007
100,Niger,562,NER,2007,108,44.715274810791016,***,2007,***,2007,***,2007,***,2010,***,2007,35.736000061035156,2007,***,2012,***,2007,***,2007,***,2007
101,Nigeria,566,NGA,2007,40,53.47835922241211,***,2007,***,2007,***,2007,***,2010,***,2007,34.52399826049805,2007,***,2012,***,2007,***,2007,***,2007
102,Nicaragua,558,NIC,2007,43,52.92698287963867,***,2007,***,2007,***,2007,***,2010,***,2007,63.39350128173828,2007,***,2011,***,2007,***,2007,***,2007
103,Netherlands,528,NLD,2007,6,65.2431869506836,***,2007,***,2007,***,2007,***,2010,***,2007,80.3499984741211,2007,***,2012,***,2007,***,2007,***,2007
104,Norway,578,NOR,2007,10,62.701820373535156,***,2008,***,2008,***,2008,***,2012,***,2008,77.44000244140625,2007,***,2012,***,2008,***,2008,***,2008
105,Nepal,524,NPL,2007,126,41.6363639831543,***,2007,***,2007,***,2007,***,2010,***,2007,0.0,2007,***,2011,***,2007,***,2007,***,2007
106,New Zealand,554,NZL,2007,3,66.92227935791016,***,2007,***,2007,***,2007,***,2010,***,2007,80.29000091552734,2007,***,2012,***,2007,***,2007,***,2007
107,Oman,512,OMN,2007,59,51.194095611572266,***,2011,***,--,***,2011,***,2011,***,--,6.269999980926514,2007,***,--,***,2011,***,--,***,2011
108,Pakistan,586,PAK,2007,146,35.094547271728516,***,2007,***,2007,***,2007,***,2010,***,2007,25.079999923706055,2007,***,2012,***,2007,***,2007,***,2007
109,Panama,591,PAN,2007,33,55.06621170043945,***,2007,***,2007,***,2007,***,2010,***,2007,72.45649719238281,2007,***,2011,***,2007,***,2007,***,2007
110,Peru,604,PER,2007,86,47.601226806640625,***,2007,***,2007,***,2007,***,2010,***,2007,84.22700500488281,2007,***,2011,***,2007,***,2007,***,2007
111,Philippines,608,PHL,2007,26,56.423274993896484,***,2007,***,2007,***,2007,***,2010,***,2007,57.3120002746582,2007,***,2011,***,2007,***,2007,***,2007
112,Poland,616,POL,2007,81,48.176368713378906,***,2007,***,2007,***,2007,***,2010,***,2007,53.880001068115234,2007,***,2012,***,2007,***,2007,***,2007
113,Portugal,620,PRT,2007,62,51.057273864746094,***,2008,***,2008,***,2008,***,2010,***,2008,64.26000213623047,2007,***,2012,***,2008,***,2008,***,2008
114,Paraguay,600,PRY,2007,70,49.93717956542969,***,2007,***,2007,***,2007,***,2010,***,2007,57.61799621582031,2007,***,2011,***,2007,***,2007,***,2007
115,Qatar,634,QAT,2007,31,55.59090805053711,***,2008,***,2009,***,2008,***,2011,***,2008,0.0,2007,***,2012,***,2008,***,2008,***,2008
116,Romania,642,ROU,2007,128,41.43566131591797,***,2007,***,2007,***,2007,***,2010,***,2007,55.58449935913086,2007,***,2012,***,2007,***,2007,***,2007
117,Russia,643,RUS,2007,115,42.9816780090332,***,2007,***,2007,***,2007,***,2010,***,2007,44.59700012207031,2007,***,2011,***,2007,***,2007,***,2007
118,Rwanda,646,RWA,2007,136,40.58036422729492,***,2008,***,2008,***,2008,***,2011,***,2008,33.768001556396484,2007,***,2012,***,2008,***,2008,***,2008
119,Saudi Arabia,682,SAU,2007,67,50.3636360168457,***,2007,***,2009,***,2007,***,2010,***,2007,0.0,2007,***,2012,***,2007,***,2007,***,2007
120,Serbia,688,SCG,2007,133,40.932411193847656,***,2009,***,2009,***,2009,***,2012,***,2012,54.512996673583984,2007,***,2012,***,2009,***,2009,***,2009
121,Sudan,729,SDN,2007,34,54.90909957885742,***,2009,***,2010,***,2009,***,2010,***,2010,0.0,2007,***,2012,***,2009,***,2009,***,2009
122,Senegal,686,SEN,2007,71,49.751705169677734,***,2007,***,2007,***,2007,***,2010,***,2007,29.537500381469727,2007,***,2012,***,2007,***,2007,***,2007
123,Singapore,702,SGP,2007,24,56.754737854003906,***,2007,***,2007,***,2007,***,2010,***,2007,37.604000091552734,2007,***,2011,***,2007,***,2007,***,2007
124,Sierra Leone,694,SLE,2007,21,57.61045837402344,***,2007,***,2007,***,2007,***,2010,***,2007,64.43000793457031,2007,***,2013,***,2007,***,2007,***,2007
125,El Salvador,222,SLV,2007,99,45.621639251708984,***,2007,***,2007,***,2007,***,2010,***,2007,44.676002502441406,2007,***,2012,***,2007,***,2007,***,2007
126,Suriname,740,SUR,2007,66,50.409549713134766,***,2012,***,2012,***,2012,***,2012,***,2012,35.01000213623047,2007,***,2012,***,2012,***,2012,***,2012
127,Slovakia,703,SVK,2007,89,47.4849967956543,***,2010,***,2010,***,2010,***,2010,***,2010,54.66999816894531,2007,***,2012,***,2010,***,2010,***,2010
128,Slovenia,705,SVN,2007,20,58.25636291503906,***,2009,***,2009,***,2009,***,2010,***,2010,60.63999938964844,2007,***,2012,***,2009,***,2009,***,2009
129,Sweden,752,SWE,2007,17,59.81772994995117,***,2007,***,2007,***,2007,***,2010,***,2007,81.98999786376953,2007,***,2012,***,2007,***,2007,***,2007
130,Swaziland,748,SWZ,2007,72,49.68182373046875,***,2011,***,2011,***,2011,***,2011,***,--,0.0,2007,***,--,***,2011,***,2011,***,2011
131,Chad,148,TCD,2007,148,32.68000411987305,***,2007,***,2007,***,2007,***,2010,***,2007,20.96000099182129,2007,***,2012,***,2007,***,2007,***,2007
132,Togo,768,TGO,2007,149,27.385271072387695,***,2008,***,2008,***,2008,***,2011,***,2008,25.47599983215332,2007,***,2014,***,2008,***,2008,***,2008
133,Thailand,764,THA,2007,22,57.15134048461914,***,2007,***,2007,***,2007,***,2010,***,2007,35.329498291015625,2007,***,2012,***,2007,***,2007,***,2007
134,Tajikistan,762,TJK,2007,103,45.07411575317383,***,2007,***,2009,***,2007,***,2010,***,2007,32.63050079345703,2007,***,2011,***,2007,***,2007,***,2007
135,Trinidad and Tobago,780,TTO,2007,54,51.683189392089844,***,2008,***,2008,***,2008,***,2011,***,2008,66.02999877929688,2007,***,2011,***,2008,***,2008,***,2008
136,Tunisia,788,TUN,2007,68,50.13286590576172,***,2009,***,2010,***,2009,***,2010,***,2010,25.923002243041992,2007,***,2012,***,2009,***,2010,***,2009
137,Turkey,792,TUR,2007,104,45.07329559326172,***,2007,***,2007,***,2007,***,2010,***,2007,71.61250305175781,2007,***,2012,***,2007,***,2007,***,2007
138,Tanzania,834,TZA,2007,101,45.288089752197266,***,2007,***,2007,***,2007,***,2010,***,2007,31.33799934387207,2007,***,2012,***,2007,***,2007,***,2007
139,Uganda,800,UGA,2007,58,51.254547119140625,***,2007,***,2007,***,2007,***,2010,***,2007,30.599998474121094,2007,***,2012,***,2007,***,2007,***,2007
140,Ukraine,804,UKR,2007,141,39.1238899230957,***,2007,***,2007,***,2007,***,2010,***,2007,52.725502014160156,2007,***,2011,***,2007,***,2007,***,2007
141,Uruguay,858,URY,2007,77,48.5281867980957,***,2007,***,2007,***,2007,***,2010,***,2007,89.62000274658203,2007,***,2012,***,2007,***,2007,***,2007
142,United States,840,USA,2007,5,65.75090789794922,***,2007,***,2007,***,2007,***,2010,***,2007,47.52000045776367,2007,***,2012,***,2007,***,2008,***,2007
143,Venezuela,862,VEN,2007,73,49.63386535644531,***,2007,***,2007,***,2007,***,2010,***,2007,18.94499969482422,2007,***,2011,***,2007,***,2007,***,2007
144,Vietnam,704,VNM,2007,82,47.906639099121094,***,2007,***,2007,***,2007,***,2010,***,2007,14.946000099182129,2007,***,2012,***,2007,***,2007,***,2007
145,Yemen,887,YEM,2007,118,42.22690963745117,***,2009,***,2009,***,2009,***,2010,***,2010,29.992002487182617,2007,***,2012,***,2009,***,2009,***,2009
146,South Africa,710,ZAF,2007,90,47.176979064941406,***,2007,***,2007,***,2007,***,2010,***,2007,72.89350128173828,2007,***,2012,***,2007,***,2007,***,2007
147,Zambia,894,ZMB,2007,87,47.54795837402344,***,2007,***,2007,***,2007,***,2011,***,2007,53.05500030517578,2007,***,2012,***,2007,***,2007,***,2007
148,Zimbabwe,716,ZWE,2007,113,43.331729888916016,***,2007,***,2007,***,2007,***,2010,***,2007,14.29800033569336,2007,***,2012,***,2007,***,2007,***,2007
149,Afghanistan,4,AFG,2008,145,37.69165802001953,***,2008,***,2008,***,2008,***,2010,***,2008,22.21649932861328,2008,***,2011,***,2008,***,2008,***,2008
150,Angola,24,AGO,2008,89,46.542911529541016,***,2011,***,2011,***,2011,***,2011,***,2012,34.944000244140625,2008,***,2012,***,2011,***,2011,***,2011
151,Albania,8,ALB,2008,125,41.7406120300293,***,2009,***,2009,***,2009,***,2012,***,2012,46.29349899291992,2008,***,2012,***,2009,***,2009,***,2009
152,United Arab Emirates,784,ARE,2008,48,52.18182373046875,***,2009,***,--,***,2009,***,2010,***,2010,0.0,2008,***,2012,***,2009,***,2009,***,2009
153,Argentina,32,ARG,2008,79,48.53713607788086,***,2008,***,2008,***,2008,***,2010,***,2008,65.8169937133789,2008,***,2012,***,2008,***,2008,***,2008
154,Armenia,51,ARM,2008,126,41.636024475097656,***,2008,***,2008,***,2008,***,2010,***,2008,44.99250030517578,2008,***,2011,***,2008,***,2008,***,2008
155,Australia,36,AUS,2008,3,67.21636962890625,***,2008,***,2008,***,2008,***,2010,***,2008,94.76000213623047,2008,***,2012,***,2008,***,2008,***,2008
156,Austria,40,AUT,2008,2,67.2186279296875,***,2008,***,2008,***,2008,***,2010,***,2008,78.80999755859375,2008,***,2012,***,2008,***,2008,***,2008
157,Azerbaijan,31,AZE,2008,112,42.91230010986328,***,2008,***,2008,***,2008,***,2010,***,2008,6.070500373840332,2008,***,2012,***,2008,***,2008,***,2008
158,Burundi,108,BDI,2008,148,34.53563690185547,***,2008,***,2008,***,2008,***,2011,***,2008,61.78400421142578,2008,***,2014,***,2008,***,2008,***,2008
159,Belgium,56,BEL,2008,19,58.1805534362793,***,2008,***,2008,***,2008,***,2010,***,2008,81.97200012207031,2008,***,2012,***,2008,***,2008,***,2008
160,Benin,204,BEN,2008,146,36.403934478759766,***,2008,***,2008,***,2008,***,2011,***,2008,49.88650131225586,2008,***,2012,***,2008,***,2008,***,2008
161,Burkina Faso,854,BFA,2008,121,42.00977325439453,***,2008,***,2008,***,2008,***,2010,***,2008,28.21500015258789,2008,***,2012,***,2008,***,2008,***,2008
162,Bangladesh,50,BGD,2008,129,41.0932731628418,***,2008,***,2008,***,2008,***,2010,***,2008,17.052000045776367,2008,***,2011,***,2008,***,2008,***,2008
163,Bulgaria,100,BGR,2008,113,42.635093688964844,***,2009,***,2009,***,2009,***,2010,***,2010,52.97199630737305,2008,***,2012,***,2009,***,2009,***,2009
164,Bahrain,48,BHR,2008,37,53.04727554321289,***,2009,***,--,***,2009,***,2010,***,2010,11.039999961853027,2008,***,2012,***,2009,***,2009,***,2009
165,Belarus,112,BLR,2008,134,40.7504997253418,***,2008,***,2008,***,2007,***,2010,***,2008,11.51099967956543,2008,***,2011,***,2008,***,2008,***,2008
166,Belize,84,BLZ,2008,66,49.93008804321289,***,2007,***,2007,***,2007,***,2014,***,2007,69.46199798583984,2008,***,2014,***,2007,***,2007,***,2007
167,Bolivia,68,BOL,2008,84,47.502685546875,***,2008,***,2008,***,2008,***,2010,***,2008,76.05899810791016,2008,***,2012,***,2008,***,2008,***,2008
