,country,isonum,isocode,year,rank_pers,pers,racial,racial_year,immig,immig_year,freedom,freedom_year,lgbx,lgbx_year,propright,propright_year,rrgov,rrgov_year,rrsoc,rrsoc_year,lgbt_rights,lgbt_rights_year,deathpen,deathpen_year,civlib,civlib_year,conscription,conscription_year,pf,pf_year
12,Burkina Faso,854,BFA,2007,62,61.00746536254883,***,2007,***,2007,***,2007,***,2007,1,2009,0.3,2007,1.5,2007,1,2007,1,2007,5,2007,10.0,2007,41.0,2007
13,Bangladesh,50,BGD,2007,115,44.771175384521484,***,2007,***,2007,***,2007,***,2009,1,2009,4.0,2007,8.3,2007,0,2016,1,2007,4,2007,10.0,2007,68.0,2007
14,Bulgaria,100,BGR,2007,47,64.90467834472656,***,2009,***,2009,***,2009,***,2009,1,2009,4.0,2007,2.2,2007,1,2007,0,2007,6,2007,10.0,2007,33.0,2007
15,Bahrain,48,BHR,2007,121,43.90726089477539,***,2009,***,2009,***,2009,***,--,1,2015,4.3,2007,3.0,2007,1,2007,1,2007,3,2007,10.0,2007,71.0,2007
16,Belarus,112,BLR,2007,131,38.84927749633789,***,2007,***,2007,***,2007,***,2007,1,2009,5.9,2007,1.4,2007,1,2007,1,2007,2,2007,5.893049716949463,--,91.0,2007
17,Belize,84,BLZ,2007,63,60.96698760986328,***,2007,***,2007,***,2007,***,2007,1,2015,1.3,2007,0.0,2007,0,2016,1,2007,6,2007,10.0,2007,22.0,2007
18,Bolivia,68,BOL,2007,64,60.81941223144531,***,2007,***,2007,***,2007,***,2007,1,2009,1.0,2007,0.0,2007,1,2007,1,2007,5,2007,3.0,2007,39.0,2007
19,Brazil,76,BRA,2007,44,65.73212432861328,***,2007,***,2007,***,2007,***,2007,1,2009,0.4,2007,0.8,2007,1,2007,1,2007,6,2007,3.0,2007,42.0,2007
20,Botswana,72,BWA,2007,42,66.03157806396484,***,2008,***,2008,***,2008,***,2008,1,2009,0.9,2007,0.1,2007,0,2016,1,2007,6,2007,10.0,2007,36.0,2007
21,Central African Republic,140,CAF,2007,128,39.125755310058594,***,2007,***,2007,***,2007,***,2007,0,--,3.7,2007,3.3,2007,1,2007,1,2007,3,2007,0.0,2007,61.0,2007
22,Canada,124,CAN,2007,1,91.07091522216797,***,2007,***,2007,***,2007,***,2007,1,2009,1.0,2007,1.2,2007,3,2007,0,2007,7,2007,10.0,2007,18.0,2007
23,Switzerland,756,CHE,2007,13,82.0792465209961,***,2009,***,2009,***,2009,***,2009,1,2009,1.2,2007,1.7,2007,2,2007,0,2007,7,2007,5.0,2007,13.0,2007
24,Chile,152,CHL,2007,75,58.329891204833984,***,2007,***,2007,***,2007,***,2007,0,2009,1.2,2007,0.4,2007,1,2007,1,2007,7,2007,1.0,2007,30.0,2007
25,China,156,CHN,2007,133,38.44559097290039,***,2010,***,2009,***,2008,***,2010,1,2009,7.8,2007,0.9,2007,1,2007,1,2007,2,2007,0.0,2007,84.0,2007
26,Ivory Coast,384,CIV,2007,92,51.35601806640625,***,2009,***,2009,***,2009,***,2009,0,2009,1.9,2007,3.1,2007,1,2007,0,2007,3,2007,1.0,2007,66.0,2007
27,Cameroon,120,CMR,2007,129,39.05340576171875,***,2007,***,2007,***,2007,***,2007,0,2009,1.1,2007,1.4,2007,0,2016,1,2007,2,2007,10.0,2007,65.0,2007
28,Democratic Republic of Congo,180,COD,2007,140,34.75394821166992,***,2009,***,2009,***,2009,***,2009,0,2009,1.3,2007,2.6,2007,1,2007,1,2007,2,2007,3.0,2007,81.0,2007
29,Congo,178,COG,2007,112,45.344852447509766,***,2008,***,2008,***,2008,***,2008,0,2009,0.7,2007,0.4,2007,1,2007,1,2007,3,2007,10.0,2007,47.860111236572266,--
30,Colombia,170,COL,2007,50,64.2259521484375,***,2007,***,2007,***,2007,***,2007,1,2009,1.8,2007,3.3,2007,1,2007,0,2007,5,2007,0.0,2007,59.0,2007
31,Comoros,174,COM,2007,139,35.07877731323242,***,2009,***,2009,***,2009,***,2009,0,--,5.4,2007,6.2,2007,0,2016,1,2007,4,2007,6.665467262268066,--,54.0,2007
32,Costa Rica,188,CRI,2007,16,81.17053985595703,***,2007,***,2007,***,2007,***,2007,1,2009,1.0,2007,0.0,2007,1,2007,0,2007,7,2007,10.0,2007,19.0,2007
33,Cyprus,196,CYP,2007,31,71.89177703857422,***,2009,***,2009,***,2009,***,2009,1,--,1.2,2007,0.9,2007,1,2007,0,2007,7,2007,0.0,2007,32.29698181152344,--
34,Czech Republic,203,CZE,2007,23,77.12891387939453,***,2007,***,2007,***,2007,***,2007,1,2009,1.0,2007,1.2,2007,2,2007,0,2007,7,2007,10.0,2007,18.0,2007
35,Germany,276,DEU,2007,22,77.70743560791016,***,2007,***,2007,***,2007,***,2007,1,2009,3.1,2007,2.1,2007,2,2007,0,2007,7,2007,3.0,2007,16.0,2007
36,Djibouti,262,DJI,2007,83,55.418128967285156,***,2008,***,2008,***,2008,***,2008,1,2015,2.4,2007,1.8,2007,1,2007,0,2007,3,2007,1.9826459884643555,--,72.0,2007
37,Denmark,208,DNK,2007,14,81.54666137695312,***,2007,***,2007,***,2007,***,2007,1,2009,2.5,2007,1.2,2007,1,2007,0,2007,7,2007,3.0,2007,10.0,2007
38,Dominican Republic,214,DOM,2007,25,75.81423950195312,***,2007,***,2007,***,2007,***,2007,1,2009,0.6,2007,0.0,2007,1,2007,0,2007,6,2007,10.0,2007,39.0,2007
39,Algeria,12,DZA,2007,135,37.06086730957031,***,2011,***,2011,***,2010,***,2011,1,2009,5.6,2007,3.6,2007,0,2016,1,2007,3,2007,1.0,2007,62.0,2007
40,Ecuador,218,ECU,2007,69,60.230262756347656,***,2007,***,2007,***,2007,***,2007,0,2009,1.1,2007,0.6,2007,1,2007,0,2007,5,2007,3.0,2007,41.0,2007
41,Egypt,818,EGY,2007,141,32.67728805541992,***,2007,***,2007,***,2007,***,--,1,2009,7.2,2007,6.1,2007,0,2016,1,2007,3,2007,0.0,2007,59.0,2007
42,Spain,724,ESP,2007,5,86.13465118408203,***,2007,***,2007,***,2007,***,2007,1,2009,2.0,2007,1.6,2007,3,2007,0,2007,7,2007,10.0,2007,23.0,2007
43,Estonia,233,EST,2007,38,69.1711196899414,***,2007,***,2007,***,2007,***,2007,1,2009,1.1,2007,0.8,2007,1,2007,0,2007,7,2007,3.0,2007,16.0,2007
44,Ethiopia,231,ETH,2007,110,46.701698303222656,***,2012,***,2012,***,2012,***,2013,1,2009,2.6,2007,5.3,2007,0,2016,1,2007,3,2007,10.0,2007,76.0,2007
45,Finland,246,FIN,2007,18,80.6948013305664,***,2008,***,2008,***,2008,***,2008,1,2009,0.6,2007,0.8,2007,1,2007,0,2007,7,2007,3.0,2007,9.0,2007
46,France,250,FRA,2007,24,76.06546020507812,***,2007,***,2007,***,2007,***,2007,1,2009,3.3,2007,3.4,2007,1,2007,0,2007,7,2007,10.0,2007,22.0,2007
47,Gabon,266,GAB,2007,98,50.695091247558594,***,2011,***,2011,***,2011,***,2011,0,2009,1.7,2007,0.1,2007,1,2007,1,2007,4,2007,10.0,2007,69.0,2007
48,United Kingdom,826,GBR,2007,10,84.05052185058594,***,2007,***,2007,***,2007,***,2007,1,2009,1.6,2007,1.6,2007,2,2007,0,2007,7,2007,10.0,2007,18.0,2007
49,Georgia,268,GEO,2007,101,50.494117736816406,***,2007,***,2007,***,2007,***,2007,1,2009,2.2,2007,4.7,2007,1,2007,0,2007,4,2007,3.0,2007,60.0,2007
50,Ghana,288,GHA,2007,60,62.215049743652344,***,2007,***,2007,***,2007,***,2007,1,2009,1.2,2007,4.9,2007,0,2016,1,2007,6,2007,10.0,2007,27.0,2007
51,Guinea,324,GIN,2007,102,49.63249969482422,***,2011,***,2011,***,2011,***,2011,1,2009,1.5,2007,1.7,2007,0,2016,1,2007,3,2007,0.0,2013,66.0,2007
52,Greece,300,GRC,2007,58,63.019805908203125,***,2007,***,2007,***,2007,***,2007,1,2009,5.2,2007,4.4,2007,1,2007,0,2007,6,2007,3.0,2007,27.0,2007
53,Guatemala,320,GTM,2007,93,51.33821487426758,***,2007,***,2007,***,2007,***,2007,1,2009,1.2,2007,1.0,2007,1,2007,1,2007,4,2007,3.0,2007,58.0,2007
54,Guyana,328,GUY,2007,71,60.01464080810547,***,2007,***,2007,***,2007,***,2007,1,2015,0.7,2007,0.0,2007,0,2016,1,2007,5,2007,10.0,2007,31.0,2007
55,Hong Kong,344,HKG,2007,34,70.6833267211914,***,2008,***,2008,***,2008,***,2008,1,2009,1.0,2007,0.8,2007,1,2007,0,--,3,--,10.0,2007,30.0,2007
56,Honduras,340,HND,2007,54,63.836055755615234,***,2007,***,2007,***,2007,***,2007,1,2009,1.3,2007,0.3,2007,1,2007,0,2007,5,2007,10.0,2007,51.0,2007
57,Croatia,191,HRV,2007,43,65.76888275146484,***,2008,***,2009,***,2009,***,2009,1,2009,0.7,2007,2.0,2007,1,2007,0,2007,6,2007,5.0,2007,36.0,2007
58,Hungary,348,HUN,2007,29,73.70628356933594,***,2007,***,2007,***,2007,***,2007,1,2009,0.3,2007,1.0,2007,1,2007,0,2007,7,2007,10.0,2007,21.0,2007
59,Indonesia,360,IDN,2007,134,38.27246856689453,***,2007,***,2007,***,2007,***,2007,1,2009,6.2,2007,8.3,2007,0,2016,1,2007,5,2007,5.0,2007,54.0,2007
60,India,356,IND,2007,108,48.69853210449219,***,2007,***,2007,***,2007,***,2007,1,2009,4.8,2007,8.8,2007,0,2016,1,2007,5,2007,10.0,2007,35.0,2007
61,Ireland,372,IRL,2007,6,86.09733581542969,***,2008,***,2008,***,2008,***,2008,1,2009,0.6,2007,0.4,2007,1,2007,0,2007,7,2007,10.0,2007,15.0,2007
62,Iran,364,IRN,2007,149,27.37955665588379,***,2007,***,2007,***,2007,***,--,1,2009,7.9,2007,6.0,2007,0,2016,1,2007,2,2007,0.0,2007,85.0,2007
63,Iraq,368,IRQ,2007,146,28.4361515045166,***,2008,***,2008,***,2008,***,2008,1,2015,5.1,2007,10.0,2007,0,2016,1,2007,2,2007,3.7638306617736816,--,69.0,2007
64,Iceland,352,ISL,2007,7,85.26529693603516,***,2008,***,2008,***,2008,***,2008,1,2009,2.6,2007,0.4,2007,1,2007,0,2007,7,2007,10.0,2007,9.0,2007
65,Israel,376,ISR,2007,87,53.170257568359375,***,2007,***,2007,***,2007,***,2007,1,2009,3.9,2007,7.8,2007,2,2007,1,2007,6,2007,0.0,2007,28.0,2007
66,Italy,380,ITA,2007,27,75.27562713623047,***,2007,***,2007,***,2007,***,2007,1,2009,2.0,2007,1.9,2007,1,2007,0,2007,7,2007,10.0,2007,29.0,2007
67,Jamaica,388,JAM,2007,57,63.10335922241211,***,2011,***,2011,***,2011,***,2011,1,2009,1.0,2007,0.0,2007,0,2016,1,2007,5,2007,10.0,2007,15.0,2007
68,Jordan,400,JOR,2007,120,43.980186462402344,***,2007,***,2007,***,2007,***,--,1,2009,4.6,2007,3.5,2007,1,2007,1,2007,4,2007,10.0,2007,63.0,2007
69,Japan,392,JPN,2007,40,67.18891906738281,***,2007,***,2007,***,2007,***,2007,1,2009,0.2,2007,0.4,2007,1,2007,1,2007,6,2007,10.0,2007,21.0,2007
70,Kazakhstan,398,KAZ,2007,125,43.06631851196289,***,2007,***,2007,***,2007,***,2007,1,2009,5.6,2007,3.1,2007,1,2007,1,2007,3,2007,0.0,2007,78.0,2007
71,Kenya,404,KEN,2007,91,52.122314453125,***,2007,***,2007,***,2007,***,2007,1,2009,2.9,2007,2.4,2007,0,2016,1,2007,5,2007,10.0,2007,60.0,2007
72,Kyrgyzstan,417,KGZ,2007,103,49.51507568359375,***,2007,***,2007,***,2007,***,2007,1,2009,3.9,2007,5.5,2007,1,2007,0,--,4,2007,1.0,2007,70.0,2007
73,Cambodia,116,KHM,2007,88,53.04335403442383,***,2007,***,2007,***,2007,***,2007,1,2009,2.9,2007,0.8,2007,1,2007,0,2007,3,2007,10.0,2010,60.0,2007
74,South Korea,410,KOR,2007,72,59.44186019897461,***,2007,***,2007,***,2007,***,2007,1,2009,1.6,2007,0.0,2007,1,2007,1,2007,6,2007,0.0,2007,30.0,2007
75,Kuwait,414,KWT,2007,95,50.94689178466797,***,2009,***,2009,***,2009,***,--,1,2009,4.8,2007,1.9,2007,0,2016,1,2007,4,2007,10.0,2007,54.0,2007
76,Laos,418,LAO,2007,117,44.697792053222656,***,2007,***,2007,***,2007,***,2007,1,2009,6.3,2007,1.0,2007,1,2007,1,--,2,2007,4.419906139373779,--,83.0,2007
77,Lebanon,422,LBN,2007,100,50.6566162109375,***,2007,***,2007,***,2007,***,2007,1,2009,1.4,2007,5.1,2007,0,2016,1,2007,4,2007,10.0,2010,55.0,2007
78,Liberia,430,LBR,2007,96,50.84922790527344,***,2007,***,2007,***,2007,***,2007,1,2009,1.7,2007,3.8,2007,0,2016,1,2007,4,2007,6.800796985626221,--,65.0,2007
79,Libya,434,LBY,2007,148,27.989089965820312,***,--,***,2012,***,2012,***,--,0,--,5.1,2007,1.4,2007,0,2016,1,2007,1,2007,10.0,2013,94.0,2007
80,Sri Lanka,144,LKA,2007,118,44.413726806640625,***,2007,***,2008,***,2007,***,2007,1,2009,4.0,2007,7.8,2007,0,2016,1,2007,4,2007,10.0,2007,67.0,2007
81,Lesotho,426,LSO,2007,79,56.59661102294922,***,2011,***,2011,***,2011,***,2011,1,2009,0.4,2007,0.0,2007,1,2007,1,2007,5,2007,10.0,2007,46.0,2007
82,Lithuania,440,LTU,2007,41,66.6939468383789,***,2007,***,2007,***,2007,***,2007,1,2009,1.7,2007,0.8,2007,1,2007,0,2007,7,2007,3.0,2007,18.0,2007
83,Luxembourg,442,LUX,2007,4,86.50301361083984,***,2008,***,2008,***,2008,***,2008,1,2015,0.8,2007,0.0,2007,1,2007,0,2007,7,2007,10.0,2007,12.0,2007
84,Latvia,428,LVA,2007,45,65.47803497314453,***,2007,***,2007,***,2007,***,2007,1,2009,2.3,2007,1.4,2007,1,2007,1,2007,7,2007,10.0,2007,22.0,2007
85,Morocco,504,MAR,2007,123,43.49038314819336,***,2011,***,2011,***,2010,***,2011,1,2009,4.9,2007,3.7,2007,0,2016,1,2007,4,2007,1.0,2007,64.0,2007
86,Moldova,498,MDA,2007,97,50.72666931152344,***,2007,***,2007,***,2007,***,2007,1,2009,4.2,2007,3.8,2007,1,2007,0,2007,4,2007,3.0,2007,66.0,2007
87,Madagascar,450,MDG,2007,89,52.886878967285156,***,2008,***,2008,***,2008,***,2008,1,2009,1.8,2007,0.0,2007,1,2007,1,2007,5,2007,1.0,2007,48.0,2007
88,Mexico,484,MEX,2007,70,60.1010627746582,***,2007,***,2007,***,2007,***,2007,1,2009,4.7,2007,5.5,2007,1,2007,0,2007,5,2007,3.0,2007,51.0,2007
89,Macedonia,807,MKD,2007,53,63.879127502441406,***,2008,***,2009,***,2009,***,2009,1,2009,2.2,2007,1.5,2007,1,2007,0,--,5,2007,10.0,2007,47.0,2007
90,Mali,466,MLI,2007,73,59.20097732543945,***,2008,***,2008,***,2008,***,2008,1,2009,0.9,2007,0.3,2007,1,2007,1,2007,5,2007,0.0,2007,27.0,2007
91,Malta,470,MLT,2007,21,78.01033020019531,***,2008,***,2008,***,2008,***,2008,1,2015,1.2,2007,0.4,2007,1,2007,0,2007,7,2007,10.0,2007,20.0,2007
92,Montenegro,499,MNE,2007,49,64.43468475341797,***,2008,***,2009,***,2009,***,2009,1,2009,0.9,2007,2.4,2007,1,2007,0,2007,5,2007,10.0,2007,38.0,2007
93,Mongolia,496,MNG,2007,80,56.31093978881836,***,2007,***,2007,***,2007,***,2007,1,2009,1.9,2007,0.6,2007,1,2007,1,2007,6,2007,3.0,2007,38.0,2007
94,Mozambique,508,MOZ,2007,48,64.67642211914062,***,2007,***,2007,***,2007,***,2007,1,2009,1.1,2007,0.3,2007,1,2007,0,2007,5,2007,0.0,2007,40.0,2007
95,Mauritania,478,MRT,2007,127,39.475738525390625,***,2007,***,2007,***,2007,***,2007,0,2009,6.5,2007,0.9,2007,0,2016,1,2007,4,2007,10.0,2007,56.0,2007
96,Mauritius,480,MUS,2007,28,75.01349639892578,***,2011,***,2011,***,2011,***,2011,1,2009,1.4,2007,0.3,2007,0,2016,0,2007,6,2007,10.0,2007,26.0,2007
97,Malawi,454,MWI,2007,77,57.5162239074707,***,2007,***,2007,***,2007,***,2007,1,2009,0.4,2007,0.3,2007,0,2016,1,2007,4,2007,10.0,2007,55.0,2007
98,Malaysia,458,MYS,2007,111,46.09503936767578,***,2007,***,2007,***,2007,***,2007,1,2009,6.4,2007,1.0,2007,0,2016,1,2007,4,2007,10.0,2007,65.0,2007
99,Namibia,516,NAM,2007,32,71.51651000976562,***,2007,***,2007,***,2007,***,2007,1,2009,0.3,2007,0.0,2007,0,2016,0,2007,6,2007,10.0,2007,30.0,2007
100,Niger,562,NER,2007,119,44.15475082397461,***,2007,***,2007,***,2007,***,2007,0,--,1.7,2007,1.5,2007,1,2007,1,2007,4,2007,0.0,2007,63.0,2007
101,Nigeria,566,NGA,2007,104,49.25093460083008,***,2007,***,2007,***,2007,***,2007,1,2009,3.7,2007,4.4,2007,0,2016,1,2007,4,2007,10.0,2007,53.0,2007
102,Nicaragua,558,NIC,2007,37,69.7665786743164,***,2007,***,2007,***,2007,***,2007,1,2009,2.1,2007,0.5,2007,0,2007,0,2007,5,2007,10.0,2007,43.0,2007
103,Netherlands,528,NLD,2007,2,90.6841812133789,***,2007,***,2007,***,2007,***,2007,1,2009,0.4,2007,1.0,2007,3,2007,0,2007,7,2007,10.0,2007,13.0,2007
104,Norway,578,NOR,2007,15,81.4536361694336,***,2008,***,2008,***,2008,***,2008,1,2009,1.5,2007,1.0,2007,1,2007,0,2007,7,2007,3.0,2007,10.0,2007
105,Nepal,524,NPL,2007,82,56.057132720947266,***,2007,***,2007,***,2007,***,2007,1,2009,3.4,2007,4.2,2007,0,2007,0,2007,4,2007,10.0,2007,57.0,2007
106,New Zealand,554,NZL,2007,3,88.97473907470703,***,2007,***,2007,***,2007,***,2007,1,2009,0.3,2007,0.4,2007,2,2007,0,2007,7,2007,10.0,2007,13.0,2007
107,Oman,512,OMN,2007,109,48.0841178894043,***,--,***,--,***,2011,***,--,1,2009,3.9,2007,0.3,2007,0,2016,1,2007,3,2007,10.0,2007,71.0,2007
108,Pakistan,586,PAK,2007,143,32.14527893066406,***,2007,***,2007,***,2007,***,2009,1,2009,5.8,2007,8.9,2007,0,2016,1,2007,3,2007,10.0,2007,66.0,2007
109,Panama,591,PAN,2007,39,68.20729064941406,***,2007,***,2007,***,2007,***,2007,1,2009,0.7,2007,0.0,2007,0,2007,0,2007,6,2007,10.0,2007,44.0,2007
110,Peru,604,PER,2007,74,58.78266143798828,***,2007,***,2007,***,2007,***,2007,1,2009,1.8,2007,0.0,2007,1,2007,1,2007,5,2007,10.0,2007,44.0,2007
111,Philippines,608,PHL,2007,65,60.73527908325195,***,2007,***,2007,***,2007,***,2007,0,2009,1.6,2007,3.7,2007,1,2007,0,2007,5,2007,10.0,2007,45.0,2007
112,Poland,616,POL,2007,33,71.14871978759766,***,2007,***,2007,***,2007,***,2007,1,2009,1.0,2007,0.9,2007,1,2007,0,2007,7,2007,3.0,2007,24.0,2007
113,Portugal,620,PRT,2007,20,78.53575134277344,***,2008,***,2008,***,2008,***,2008,1,2009,0.3,2007,0.0,2007,1,2007,0,2007,7,2007,10.0,2007,16.0,2007
114,Paraguay,600,PRY,2007,59,62.70600128173828,***,2007,***,2007,***,2007,***,2007,1,2009,0.6,2007,0.7,2007,1,2007,0,2007,5,2007,1.0,2007,60.0,2007
115,Qatar,634,QAT,2007,105,49.08928680419922,***,2009,***,2008,***,2008,***,--,1,2015,3.3,2007,0.3,2007,0,2016,1,2007,3,2007,10.0,2010,64.0,2007
116,Romania,642,ROU,2007,61,61.56532287597656,***,2007,***,2007,***,2007,***,2007,1,2009,4.8,2007,5.5,2007,1,2007,0,2007,6,2007,10.0,2007,44.0,2007
117,Russia,643,RUS,2007,130,38.9029541015625,***,2007,***,2007,***,2007,***,2007,1,2009,5.8,2007,3.7,2007,1,2007,1,2007,3,2007,1.0,2007,78.0,2007
118,Rwanda,646,RWA,2007,81,56.13551330566406,***,--,***,2008,***,2008,***,2008,1,2009,2.0,2007,0.0,2007,1,2007,0,2007,3,2007,10.0,2007,84.0,2007
119,Saudi Arabia,682,SAU,2007,145,31.480619430541992,***,2007,***,2007,***,2007,***,--,1,2009,8.0,2007,7.2,2007,0,2016,1,2007,2,2007,10.0,2010,81.0,2007
120,Serbia,688,SCG,2007,51,64.19465637207031,***,2008,***,2009,***,2009,***,2009,1,2009,3.1,2007,1.5,2007,1,2007,0,--,6,2007,3.0,2007,39.0,2007
121,Sudan,729,SDN,2007,137,36.70142364501953,***,2009,***,2009,***,2009,***,2009,1,2009,5.7,2007,6.5,2007,0,2016,1,2007,1,2007,9.790736198425293,--,78.0,2007
122,Senegal,686,SEN,2007,52,63.89118576049805,***,2007,***,2007,***,2007,***,2007,1,2009,0.5,2007,0.0,2007,0,2016,0,2007,5,2007,0.0,2007,49.0,2007
123,Singapore,702,SGP,2007,90,52.192081451416016,***,2007,***,2007,***,2007,***,2007,1,2009,4.6,2007,0.2,2007,0,2016,1,2007,4,2007,0.0,2007,69.0,2007
124,Sierra Leone,694,SLE,2007,78,57.03101348876953,***,2007,***,2007,***,2007,***,2007,1,2011,0.0,2007,0.0,2007,0,2016,1,--,5,2007,10.0,2007,59.0,2007
125,El Salvador,222,SLV,2007,66,60.30031967163086,***,2007,***,2007,***,2007,***,2007,1,2009,0.6,2007,0.4,2007,1,2007,1,2007,5,2007,10.0,2007,42.0,2007
126,Suriname,740,SUR,2007,36,70.4068374633789,***,2012,***,2012,***,2012,***,2012,1,2015,0.0,2007,0.0,2007,1,2007,1,2007,6,2007,10.0,2010,23.0,2007
127,Slovakia,703,SVK,2007,35,70.59259796142578,***,2010,***,2010,***,2010,***,2010,1,2009,2.8,2007,1.9,2007,1,2007,0,2007,7,2007,10.0,2007,22.0,2007
128,Slovenia,705,SVN,2007,17,80.7146224975586,***,2009,***,2009,***,2009,***,2009,1,2009,0.6,2007,1.0,2007,2,2007,0,2007,7,2007,10.0,2007,23.0,2007
129,Sweden,752,SWE,2007,12,82.38128662109375,***,2007,***,2007,***,2007,***,2007,1,2009,1.2,2007,0.7,2007,1,2007,0,2007,7,2007,3.0,2007,11.0,2007
130,Swaziland,748,SWZ,2007,132,38.8377799987793,***,2011,***,2011,***,2011,***,2011,0,2015,1.5,2007,0.0,2007,0,2016,1,2007,3,2007,10.0,2010,76.0,2007
131,Chad,148,TCD,2007,147,28.32069969177246,***,2007,***,2007,***,2007,***,2007,0,2009,4.2,2007,3.3,2007,1,2007,1,2007,2,2007,3.0,2007,74.0,2007
132,Togo,768,TGO,2007,138,36.674705505371094,***,2008,***,2008,***,2008,***,2008,1,2009,2.8,2007,0.0,2007,0,2016,1,2007,3,2007,0.0,2007,74.0,2007
133,Thailand,764,THA,2007,107,48.882572174072266,***,2007,***,2007,***,2007,***,2007,1,2009,2.6,2007,2.6,2007,1,2007,1,2007,4,2007,0.0,2007,56.0,2007
134,Tajikistan,762,TJK,2007,122,43.62187576293945,***,2007,***,2007,***,2007,***,2008,1,2009,4.5,2007,2.2,2007,1,2007,1,2007,3,2007,0.0,2010,77.0,2007
135,Trinidad and Tobago,780,TTO,2007,46,65.08843231201172,***,2008,***,2008,***,2008,***,2008,1,2015,0.3,2007,0.6,2007,0,2016,1,2007,6,2007,10.0,2007,23.0,2007
136,Tunisia,788,TUN,2007,136,36.986507415771484,***,2010,***,2010,***,2009,***,2010,1,2009,4.8,2007,3.8,2007,0,2016,1,2007,3,2007,3.0,2007,81.0,2007
137,Turkey,792,TUR,2007,86,53.30807113647461,***,2007,***,2007,***,2007,***,2007,1,2009,6.6,2007,4.7,2007,1,2007,0,2007,5,2007,1.0,2007,51.0,2007
138,Tanzania,834,TZA,2007,99,50.67384719848633,***,2007,***,2007,***,2007,***,2007,1,2009,2.1,2007,3.5,2007,0,2016,1,2007,5,2007,5.0,2007,48.0,2007
139,Uganda,800,UGA,2007,85,54.33964538574219,***,2007,***,2007,***,2007,***,2007,1,2009,2.4,2007,0.4,2007,0,2016,1,2007,4,2007,10.0,2007,53.0,2007
140,Ukraine,804,UKR,2007,76,57.944305419921875,***,2007,***,2007,***,2007,***,2007,1,2009,2.6,2007,1.9,2007,1,2007,0,2007,6,2007,1.0,2007,53.0,2007
141,Uruguay,858,URY,2007,11,82.71489715576172,***,2007,***,2007,***,2007,***,2007,1,2009,0.3,2007,0.6,2007,1,2007,0,2007,7,2007,10.0,2007,30.0,2007
142,United States,840,USA,2007,26,75.39447784423828,***,2007,***,2007,***,2007,***,2007,1,2009,1.6,2007,1.9,2007,1,2007,1,2007,7,2007,10.0,2007,17.0,2007
143,Venezuela,862,VEN,2007,67,60.29342269897461,***,2007,***,2007,***,2007,***,2007,1,2009,3.6,2007,0.8,2007,1,2007,0,2007,4,2007,0.0,2007,74.0,2007
144,Vietnam,704,VNM,2007,124,43.322998046875,***,2008,***,2008,***,2007,***,2008,1,2009,6.6,2007,1.2,2007,1,2007,1,2007,3,2007,0.0,2007,82.0,2007
